0,1,Cuentas de vueltas,Muestreo (s),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitacion (V)
Fecha,29_08_2022,,,,,,,
Hora de inicio,11_57_54,,,,,,,
Hora de finalización,11_58_51,,,,,,,
Voltage de salida analoga,0.0,,,,,,,
Voltaje offset celda 1,-0.01116082551511325,,,,,,,
Voltaje offset celda 2,-0.04826550465887797,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.24998140335083008,0.0,-0.40353758504679493,-0.00011495838406691544,-0.00048452753998207116,0.00011749946599343809
,,0.0,0.49982547760009766,0.0,-0.4062298827330241,-3.5136300482471564e-06,-2.0611485461352608e-06,0.00042689391665666986
,,0.0,0.7498939037322998,0.0,-0.4065332402187967,-2.9728186100960905e-06,-2.300111739736918e-06,0.0004570787411116539
,,0.0,0.9996294975280762,0.0,-0.40418221970406115,-3.09230020689678e-06,-1.9605324646184557e-06,0.0003080411703654162
,,0.0,1.2494146823883057,0.0,-0.40801210796193793,-3.8720748386496075e-06,-2.2246496785993663e-06,0.0002627639336828969
,,0.0,1.4992854595184326,0.0,-0.3996318574174769,-3.563938089005663e-06,-2.1932071531249874e-06,0.0002910622066093915
,,0.0,1.749175786972046,0.0,-0.40437181813266965,-3.2054932986027606e-06,-2.3818623059689015e-06,0.00034199909787713256
,,0.0,1.9991137981414795,0.0,-0.40979433319084907,-3.1300312374656773e-06,-2.4321703467274776e-06,0.00034199909787715257
,,0.0,2.249239444732666,0.0,-0.4055852480757596,-3.563938089005264e-06,-2.2749577193576646e-06,0.0003344528917634149
,,0.0,2.49902081489563,0.0,-0.40380302284684627,-3.431879482014878e-06,-2.828346167697976e-06,0.0003570915101046479
,,0.0,2.7491817474365234,0.0,-0.405547328390037,-4.117326537346026e-06,-2.557940448622842e-06,0.000338225994820287
