0,1,Cuentas de vueltas,Muestreo (s),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitacion (V)
Fecha,17_08_2022,,,,,,,
Hora de inicio,11_02_41,,,,,,,
Hora de finalización,11_05_01,,,,,,,
Voltage de salida analoga,0.2,,,,,,,
Voltaje offset celda 1,0.16416104971725123,,,,,,,
Voltaje offset celda 2,0.16631081346721646,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.24988603591918945,0.0,-0.1366209172529715,0.0016413582038543389,0.0016637955900325164,5.466941993392622
,,0.0,0.4997720718383789,0.0,-0.6905137665873082,-4.2837146082858046e-07,9.201300488578811e-07,5.466964632010959
,,0.0,0.7497172355651855,0.0,-0.06263961041027194,-1.0136919589898152e-07,6.434358246867888e-07,5.465836474196957
,,0.0,1.0032963752746582,0.0,-0.18280709446179066,3.325376556415072e-07,1.2156897883125461e-06,5.468045626036753
,,0.0,1.249300479888916,0.0,-0.43144647373783995,-1.3281172137363794e-07,4.2333814637002256e-07,5.467432496790011
,,0.0,1.4996347427368164,0.0,0.4171581730242037,-2.585818232686554e-07,-7.65189316543069e-07,5.474639123628629
,,0.0,1.751326084136963,0.0,-0.4641332428297961,3.697791618600954e-08,-1.0418835407122185e-06,5.4690153135223705
,,0.0,1.9993054866790771,0.0,-0.5927568167972147,-1.0136919589925908e-07,-7.651893165433465e-07,5.469234153499668
,,0.0,2.2492012977600098,0.0,-0.29421513111163666,-7.050656849980075e-07,-8.909594184375314e-07,5.469236040051195
,,0.0,2.4991018772125244,0.0,-0.0807652201851637,3.325376556406745e-07,-7.974226121143513e-08,5.469915198601431
,,0.0,2.7490246295928955,0.0,-0.5603354855053083,7.47089467548201e-08,9.704380896166652e-07,5.4719300356337985
,,0.0,2.9989540576934814,0.0,-0.2831425828809502,-1.642542468474617e-07,1.0262438653679817e-07,5.473224209982304
,,0.0,3.24892520904541,0.0,-0.48942567320605385,-4.6610249139655833e-07,1.5867115889048322e-06,5.473539264087552
,,0.0,3.498861789703369,0.0,-0.72354181285076,-3.8484144951056457e-08,-7.345375611700345e-08,5.469996320317154
