0,1,Cuentas de vueltas,Muestreo (s),Torque de referencia (N-m),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de control difuso (V),Voltaje de excitacion (V)
Fecha,14_07_2022,,,,,,,,,
Hora de inicio,16_49_03,,,,,,,,,
Hora de finalización,16_50_28,,,,,,,,,
Voltage de salida analoga,0.0,,,,,,,,,
Voltaje offset celda 1,-0.01005562513787282,,,,,,,,,
Voltaje offset celda 2,-0.0434787874648382,,,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,,,
,,0,6.497540473937988,0.0,0.0,-0.4537811686278277,-2.3722224418718484e-06,-6.641715740220849e-07,{'V': 0.0},-0.01689353566589768
,,0,6.747497797012329,0.0,0.0,-0.44581803462630526,-1.6301788406877793e-06,-6.830370893069065e-07,{'V': 0.0},-0.014507047982428353
,,0,6.99745512008667,0.0,0.0,-0.4516197465416998,-2.0703741973224223e-06,-1.8624518681890912e-07,{'V': 0.0},-0.016972770830091848
,,0,7.247419118881226,0.0,0.0,-0.44718314331228065,-1.96346961071122e-06,-4.5036240080009725e-07,{'V': 0.0},-0.012416748888923293
,,0,7.497380256652832,0.0,0.0,-0.44869993074114206,-1.875430539384302e-06,-5.384014721267899e-07,{'V': 0.0},-0.00994536638667463
,,0,7.747395992279053,0.0,0.0,-0.4523023008846874,-9.510202904516353e-07,1.4986976213521296e-08,{'V': 0.0},-0.014684383826101184
,,0,7.997314929962158,0.0,0.0,-0.45055799534149665,-1.353484616517346e-06,-2.0511070210352256e-07,{'V': 0.0},-0.014339144896397734
,,0,8.247283220291138,0.0,0.0,-0.4530986142848404,-1.1962719891478803e-06,2.0993063415186697e-07,{'V': 0.0},-0.014603262110378507
,,0,8.497248888015747,0.0,0.0,-0.4530606945991175,-5.359789541960029e-07,1.7848810867783504e-07,{'V': 0.0},-0.014020317688092386
,,0,8.746988534927368,0.0,0.0,-0.4490412079126368,-7.497881274185978e-07,5.271800678288696e-08,{'V': 0.0},-0.012729916442643404
,,0,8.99718713760376,0.0,0.0,-0.45199894339891566,-7.372111172289711e-07,2.036421290572965e-07,{'V': 0.0},-0.012196022360096502
,,0,9.247159719467163,0.0,0.0,-0.45814193248580326,-5.862869949542666e-07,2.7910419019408496e-07,{'V': 0.0},-0.01398258665752378
,,0,9.497124910354614,0.0,0.0,-0.45048215597005453,-6.240180255229384e-07,4.929133634171828e-07,{'V': 0.0},-0.012765760921683642
,,0,9.747160911560059,0.0,0.0,-0.4490412079126364,-6.365950357123743e-07,5.432214041754813e-07,{'V': 0.0},-0.012714824030415893
,,0,9.997060060501099,0.0,0.0,-0.4503304772271683,-3.9134333701609446e-07,2.9168120038391974e-07,{'V': 0.0},-0.014465543848802878
,,0,10.247018814086914,0.0,0.0,-0.4473727417408885,-8.566927140298865e-07,1.9106511886773925e-07,{'V': 0.0},-0.013603389800308414
,,0,10.496981143951416,0.0,0.0,-0.448851609484028,-9.950398261148776e-07,4.929133634172522e-07,{'V': 0.0},-0.012586538526482387
,,0,10.746778964996338,0.0,0.0,-0.4483965732553698,-1.15225245348443e-06,3.9229728190086355e-07,{'V': 0.0},-0.013986359760580517
,,0,10.996742010116577,0.0,0.0,-0.4440358093973935,-5.548444694802868e-07,2.1275481308855038e-08,{'V': 0.0},-0.012301669245688904
,,0,11.24684453010559,0.0,0.0,-0.4494583244555732,-1.3220420910437132e-06,2.728156850995145e-07,{'V': 0.0},-0.014852286912131862
,,0,11.49681568145752,0.0,0.0,-0.4502546378557234,-5.988640051437892e-07,-2.903255944985972e-08,{'V': 0.0},-0.015159794811266596
,,0,11.746710300445557,0.0,0.0,-0.45374324894210544,-1.272261230351665e-07,-9.191761039792356e-08,{'V': 0.0},-0.013188348464052892
,,0,11.996756553649902,0.0,0.0,-0.4468418661407867,-9.824628159253897e-07,1.407570781095796e-07,{'V': 0.0},-0.013503402569301319
,,0,12.246634244918823,0.0,0.0,-0.4512784693702066,-1.0264823515888227e-06,1.0931455263533951e-07,{'V': 0.0},-0.015267328248387403
,,0,12.496440172195435,0.0,0.0,-0.4524160599418518,-4.416513777742541e-07,5.872409398390011e-07,{'V': 0.005105098039215037},-0.014031636997262991
,,0,12.746493339538574,0.0,0.0,-0.4511647103130419,-7.246341070393444e-07,2.287961494364804e-07,{'V': 0.0},-0.014065594924774834
,,0,12.996386051177979,0.0,0.0,-0.4524160599418517,-1.2093761794030113e-07,2.413731596259683e-07,{'V': 0.005105098039214174},-0.013788271850095082
,,0,13.246442079544067,0.0,0.0,-0.44835865356964866,-5.108249338167669e-07,2.6652718000473585e-07,{'V': 0.0},-0.01056792839105778
,,0,13.496403455734253,0.0,0.0,-0.45374324894210555,-4.290743675846795e-07,5.872409398387929e-07,{'V': 0.005105098039216578},-0.014165582155781821
