0,1,Cuentas de vueltas,Muestreo (s),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitacion (V)
Fecha,01_07_2022,,,,,,,
Hora de inicio,14_36_00,,,,,,,
Hora de finalización,14_36_13,,,,,,,
Voltage de salida analoga,0,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,
,,0.0,0.0025587081909179688,5.995510745922998,-0.44820697482676214,5.488156153291905e-05,-0.00021476324842617728,0.0002665370367397091
,,0.0,0.0051174163818359375,5.996879583992844,-0.4539328473707128,5.4774656946307894e-05,-0.00021549900352226654,-0.00031452083401801946
,,1.0,0.007676124572753906,5.996879583992844,-0.4539328473707128,5.4774656946307894e-05,-0.00021549900352226654,-0.00031452083401801946
,,2.0,0.013153791427612305,5.996879583992844,-0.4539328473707128,5.4774656946307894e-05,-0.00021549900352226654,-0.00031452083401801946
,,10.0,0.018189668655395508,5.99824904724564,-0.4539328473707128,5.4774656946307894e-05,-0.00021549900352226654,-0.00031452083401801946
,,11.0,0.02307438850402832,5.996879583992844,-0.4539328473707128,5.4774656946307894e-05,-0.00021549900352226654,-0.00031452083401801946
,,12.0,0.028746843338012695,5.995510745922998,-0.4474485811123297,5.401374782983939e-05,-0.00021617816207250275,-0.0010804607545624044
,,23.0,0.03373098373413086,5.995510745922998,-0.4474485811123297,5.401374782983939e-05,-0.00021617816207250275,-0.0010804607545624044
,,23.0,0.0375823974609375,5.995510745922998,-0.4474485811123297,5.401374782983939e-05,-0.00021617816207250275,-0.0010804607545624044
,,25.0,0.042478084564208984,5.996879583992844,-0.4474485811123297,5.401374782983939e-05,-0.00021617816207250275,-0.0010804607545624044
,,35.0,0.04845237731933594,5.99824904724564,-0.4474485811123297,5.401374782983939e-05,-0.00021617816207250275,-0.0010804607545624044
,,36.0,0.052079200744628906,5.995510745922998,-0.4474485811123297,5.401374782983939e-05,-0.00021617816207250275,-0.0010804607545624044
,,39.0,0.05602145195007324,5.996879583992844,-0.4474485811123297,5.401374782983939e-05,-0.00021617816207250275,-0.0010804607545624044
