0,1,Cuentas de vueltas,Muestreo (s),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitacion (V)
Fecha,24_06_2022,,,,,,,
Hora de inicio,16_54_27,,,,,,,
Hora de finalización,16_54_36,,,,,,,
Voltage de salida analoga,0,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,
,,0.0,0.0,0.0,-0.4360726753958703,-4.032011709696541e-05,-0.0003282581883767761,0.00036086461316142015
,,0.0,0.2503170967102051,0.0,-0.4334562170810858,-4.078546647397925e-05,-0.00032952846640592136,0.00037784357691741824
,,0.0,0.5002617835998535,0.0,-0.43865121402493684,-4.133256641722527e-05,-0.00032958506295177375,0.00037218392233205
,,0.0,0.7501897811889648,0.0,-0.439409607739367,-4.1558952600637516e-05,-0.00033059751227203417,0.0002872891035525527
,,0.0,1.0002689361572266,0.0,-0.43588307696726436,-4.160926064139549e-05,-0.00033103770762866867,0.00030804117036528297
,,0.0,1.25032377243042,0.0,-0.4378928203105057,-4.315623289471144e-05,-0.0003321067534947812,0.0004306670197134954
,,0.0,1.5003941059112549,0.0,-0.4357693179100991,-4.3791371909284525e-05,-0.00033313806833032525,0.00010429360529438548
,,0.0,1.7504644393920898,0.0,-0.43793073999622567,-4.41686822149713e-05,-0.0003337920728601826,0.00020050773324460593
,,0.0,2.0016860961914062,0.0,-0.43360789582397147,-4.477866720916502e-05,-0.0003346284440377885,0.0001344784297493895
,,0.0,2.250279426574707,0.0,-0.4352763619957205,-4.509309246390405e-05,-0.00033551512325615305,0.000574044935874578
,,0.0,2.5013973712921143,0.0,-0.43626227382447824,-4.523143957598932e-05,-0.0003350057543434752,5.147016249824832e-05
,,0.0,2.768148183822632,0.0,-0.4358072375958203,-4.490443731106044e-05,-0.00033467246357345176,0.00024955807298381093
,,0.0,3.017989158630371,0.0,-0.4358072375958208,-4.492959133143955e-05,-0.0003344272118747555,0.000309927721893779
,,0.0,3.2678301334381104,0.0,-0.4366035509959737,-4.543267173902215e-05,-0.00033477307965496824,0.00021937324852888018
,,0.0,3.5196638107299805,0.0,-0.4366035509959737,-4.543267173902215e-05,-0.00033477307965496824,0.00021937324852888018
,,0.0,3.7674560546875,0.0,-0.4342525304812373,-4.567792343771888e-05,-0.00033480452218044213,0.00047971735945276036
,,0.0,4.017637491226196,0.0,-0.4322048674522757,-4.611811879435352e-05,-0.00033639551396942216,-8.8994864116132e-06
,,0.0,4.267609119415283,0.0,-0.4353522013671626,-4.675954631402091e-05,-0.0003371501345807952,0.0003137008249506312
,,0.0,4.5175886154174805,0.0,-0.4339491729954657,-4.736324280311992e-05,-0.0003383826815793723,0.00011938601752193412
,,0.0,4.7675395011901855,0.0,-0.4339491729954661,-4.815559444506196e-05,-0.00033970326764927623,0.00024201186687010658
,,0.0,5.017502307891846,0.0,-0.4317498312236159,-4.919319778570102e-05,-0.00034054592733197725,0.0001439111873915566
,,0.0,5.267465114593506,0.0,-0.43751362345328937,-4.970885520347305e-05,-0.0003418602248967862,0.00042312081359981103
,,0.0,5.517409801483154,0.0,-0.4369069084817453,-5.0928825191860485e-05,-0.0003429670017934673,0.0002721966913250373
,,0.0,5.767354488372803,0.0,-0.4370965069103531,-5.0897382666386416e-05,-0.00034477180275566984,0.0005136752869646832
,,0.0,6.017212152481079,0.0,-0.43830993685344194,-5.1916120491740746e-05,-0.00034552642336704354,0.00039293598914488695
,,0.0,6.267199754714966,0.0,-0.4347454863956179,-5.245064342479733e-05,-0.00034606094630009967,0.00029672186119471976
,,0.0,6.516920328140259,0.0,-0.43853745496777136,-5.257641352669275e-05,-0.0003465011416567343,-1.6445692525430823e-05
,,0.0,6.76741886138916,0.0,-0.43444212890984674,-5.3123513469938734e-05,-0.00034719287721716015,0.00036652426774676174
,,0.0,7.016942501068115,0.0,-0.43781698093906113,-5.309835944955949e-05,-0.00034724318525791823,0.00046273839569696215
,,0.0,7.266930341720581,0.0,-0.4372102659675175,-5.3412784704298396e-05,-0.000348368827669884,0.00011938601752187417
,,0.0,7.51588249206543,0.0,-0.43785490062478294,-5.438121448889492e-05,-0.00034902912070483593,2.1285338043310897e-05
,,0.0,7.765861988067627,0.0,-0.43402501236690844,-5.477739030986588e-05,-0.0003501044550760432,0.000251444624512267
,,0.0,8.015782594680786,0.0,-0.4339870926811871,-5.546912587029147e-05,-0.0003498151838416835,0.00034199909787711923
