0,1,Cuentas de vueltas,Muestreo (s),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitacion (V)
Fecha,24_06_2022,,,,,,,
Hora de inicio,17_08_58,,,,,,,
Hora de finalización,17_09_11,,,,,,,
Voltage de salida analoga,,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,
,,0.0,0.0,0.0,-0.439333768367924,6.052863910803223e-05,-0.00023541469915743595,3.826430179922901e-05
,,0.0,0.004090547561645508,0.0,-0.439333768367924,6.052863910803223e-05,-0.00023541469915743595,3.826430179922901e-05
,,0.0,0.008181095123291016,0.0,-0.439333768367924,6.052863910803223e-05,-0.00023541469915743595,3.826430179922901e-05
,,0.0,0.008253812789916992,0.0,-0.439333768367924,6.052863910803223e-05,-0.00023541469915743595,3.826430179922901e-05
,,0.0,0.008588790893554688,0.0,-0.439333768367924,6.052863910803223e-05,-0.00023541469915743595,3.826430179922901e-05
,,0.0,0.011913776397705078,0.0,-0.439333768367924,6.052863910803223e-05,-0.00023541469915743595,3.826430179922901e-05
,,0.0,0.015725135803222656,0.0,-0.43197734933794724,6.025823338895635e-05,-0.000235810874978407,0.00042312081359985093
,,0.0,0.019536495208740234,0.0,-0.43197734933794724,6.025823338895635e-05,-0.000235810874978407,0.00042312081359985093
,,0.0,0.02274298667907715,0.0,-0.43197734933794724,6.025823338895635e-05,-0.000235810874978407,0.00042312081359985093
,,0.0,0.025949478149414062,0.0,-0.43197734933794724,6.025823338895635e-05,-0.000235810874978407,0.00042312081359985093
,,0.0,0.026659011840820312,0.0,-0.4325461446237682,5.959165184890991e-05,-0.000236798170278288,0.00035897806163303736
,,0.0,0.027368545532226562,0.0,-0.4325461446237682,5.959165184890991e-05,-0.000236798170278288,0.00035897806163303736
,,0.0,0.028078079223632812,0.0,-0.4325461446237682,5.959165184890991e-05,-0.000236798170278288,0.00035897806163303736
,,0.0,0.030420780181884766,0.0,-0.4325461446237682,5.959165184890991e-05,-0.000236798170278288,0.00035897806163303736
,,0.0,0.03588366508483887,0.0,-0.4325461446237682,5.959165184890991e-05,-0.000236798170278288,0.00035897806163303736
,,0.0,0.03923368453979492,0.0,-0.4325461446237682,5.959165184890991e-05,-0.000236798170278288,0.00035897806163303736
,,0.0,0.04252195358276367,0.0,-0.4325461446237682,5.959165184890991e-05,-0.000236798170278288,0.00035897806163303736
,,0.0,0.04580497741699219,0.0,-0.4325461446237682,5.959165184890991e-05,-0.000236798170278288,0.00035897806163303736
,,0.0,0.04888153076171875,0.0,-0.43527636199571784,5.854147149808129e-05,-0.00023699940244132075,0.00019296152713080825
,,0.0,0.050357818603515625,0.0,-0.43527636199571784,5.854147149808129e-05,-0.00023699940244132075,0.00019296152713080825
,,0.0,0.054212331771850586,0.0,-0.43527636199571784,5.854147149808129e-05,-0.00023699940244132075,0.00019296152713080825
,,0.0,0.05662369728088379,0.0,-0.43527636199571784,5.854147149808129e-05,-0.00023699940244132075,0.00019296152713080825
,,0.0,0.05985283851623535,0.0,-0.44115391328255765,5.837797036561705e-05,-0.0002374647518183343,-0.0002447184274660308
,,0.0,0.06352949142456055,0.0,-0.44115391328255765,5.837797036561705e-05,-0.0002374647518183343,-0.0002447184274660308
,,0.0,0.06643557548522949,0.0,-0.44115391328255765,5.837797036561705e-05,-0.0002374647518183343,-0.0002447184274660308
,,0.0,0.07018876075744629,0.0,-0.44115391328255765,5.837797036561705e-05,-0.0002374647518183343,-0.0002447184274660308
,,0.0,0.0724172592163086,0.0,-0.44115391328255765,5.837797036561705e-05,-0.0002374647518183343,-0.0002447184274660308
,,0.0,0.07577967643737793,0.0,-0.43239446588088337,5.832137381976423e-05,-0.00023844575861312043,0.00018541532101706392
,,0.0,0.07913398742675781,0.0,-0.43239446588088337,5.832137381976423e-05,-0.00023844575861312043,0.00018541532101706392
,,0.0,0.08234477043151855,0.0,-0.43239446588088337,5.832137381976423e-05,-0.00023844575861312043,0.00018541532101706392
,,0.0,0.08560037612915039,0.0,-0.43239446588088337,5.832137381976423e-05,-0.00023844575861312043,0.00018541532101706392
,,0.0,0.08888816833496094,0.0,-0.43239446588088337,5.832137381976423e-05,-0.00023844575861312043,0.00018541532101706392
,,0.0,0.09217596054077148,0.0,-0.43239446588088337,5.832137381976423e-05,-0.00023844575861312043,0.00018541532101706392
,,0.0,0.09222006797790527,0.0,-0.4387270533963776,5.732779001478905e-05,-0.00023912491716335645,0.00010618015682283489
,,0.0,0.09552836418151855,0.0,-0.4387270533963776,5.732779001478905e-05,-0.00023912491716335645,0.00010618015682283489
,,0.0,0.09872317314147949,0.0,-0.4387270533963776,5.732779001478905e-05,-0.00023912491716335645,0.00010618015682283489
