0,1,Cuentas de vueltas,Muestreo (s),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitacion (V)
Fecha,12_07_2022,,,,,,,
Hora de inicio,16_33_01,,,,,,,
Hora de finalización,16_34_04,,,,,,,
Voltage de salida analoga,0.0,,,,,,,
Voltaje offset celda 1,0.0036914612122279583,,,,,,,
Voltaje offset celda 2,-0.02327047300187774,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.2499396800994873,0.060194870181133855,-0.4494204047698516,-2.9315233181099033e-05,-0.00030651253775902486,0.00017975566643163576
,,0.0,0.4998793601989746,0.060194870181133855,-0.44854825199825565,-6.548780170219509e-05,-7.300916759321045e-05,-0.00047865081699192567
,,1.0,0.7498359680175781,0.060194870181133855,-0.44976168194134397,-6.680838777209892e-05,-7.414738701536579e-05,-6.738258379313855e-05
,,1.0,0.9997444152832031,0.060194870181133855,-0.4456284361976987,-6.544378216653127e-05,-7.252495270091218e-05,-0.0003277266947170987
,,2.0,1.2498197555541992,0.060194732232142244,-0.450216718170002,-6.716683256250116e-05,-7.40970789746075e-05,-9.190775366281433e-05
,,3.0,1.499668836593628,0.060194318388961054,-0.44923080634124235,-6.591542004864007e-05,-7.287710898621982e-05,-0.0004390332348947279
,,3.0,1.749511957168579,0.060194318388961054,-0.4496479228841801,-6.582109247221853e-05,-7.363172959759354e-05,-0.0008276628497522087
,,4.0,1.9995708465576172,0.060194870181133855,-0.44786569765526757,-6.617953726262076e-05,-7.287082048112538e-05,-0.0005088356414468298
,,4.0,2.249323606491089,0.060194870181133855,-0.45029255754144537,-6.738064173572369e-05,-7.43045996427353e-05,-0.0002560377366366273
,,5.0,2.4994945526123047,0.060194870181133855,-0.4488516094840271,-6.670148318548768e-05,-7.402161691347004e-05,-0.0008842593956052248
,,5.0,2.7498345375061035,0.060194870181133855,-0.44502172122615274,-6.705363947079531e-05,-7.353740202117199e-05,-0.0002862225610915181
,,6.0,2.999497413635254,0.06019418044249854,-0.449685842569901,-6.846226461202603e-05,-7.632320977815952e-05,-0.0004145080650250388
,,7.0,3.2499725818634033,0.060194870181133855,-0.44858617168397724,-6.763847044460973e-05,-7.463160190766333e-05,0.00013070532669251067
,,7.0,3.499119997024536,0.060194870181133855,-0.44991336068423093,-6.859432321901643e-05,-7.61156891100321e-05,0.00022880600617103397
,,8.0,3.755162477493286,0.060194870181133855,-0.4461593117978003,-7.027964258441777e-05,-7.694577178254288e-05,0.0001816422179601651
,,8.0,3.9990808963775635,0.060194870181133855,-0.44957208351273764,-6.924832774887387e-05,-7.652444194119271e-05,-0.0003465922100015129
