0,1,Cuentas de vueltas,Muestreo (s),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitacion (V)
Fecha,14_07_2022,,,,,,,
Hora de inicio,16_19_40,,,,,,,
Hora de finalización,16_20_48,,,,,,,
Voltage de salida analoga,0.0,,,,,,,
Voltaje offset celda 1,-0.004120982132476592,,,,,,,
Voltaje offset celda 2,-0.036887874310483806,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.25029611587524414,0.0,-0.44979960162706745,-8.568539285071237e-05,-0.0004225480337679153,-0.015646525105602608
,,0.0,0.5002164840698242,0.0,-0.4518472646560273,-4.467051518388449e-05,-5.392711937196336e-05,-0.013275129834360907
,,0.0,0.7498331069946289,0.0,-0.4506338347129401,-4.492205538767557e-05,-5.4518238850872344e-05,-0.014267455938317262
,,0.0,0.9998517036437988,0.0,-0.4461972314835199,-4.506040249976089e-05,-5.4606277922199454e-05,-0.012358265791541832
,,0.0,1.2496886253356934,0.0,-0.4540845261135991,-4.538740476468944e-05,-5.4499373335588424e-05,-0.014767392093352325
,,0.0,1.4997007846832275,0.0,-0.4516576662274229,-4.56515219786702e-05,-5.455596988144143e-05,-0.01445611109116059
,,0.0,1.7495918273925781,0.0,-0.45124054968448424,-4.546286682582672e-05,-5.451823885087241e-05,-0.01566350406935855
,,0.0,1.999546766281128,0.0,-0.44653850865501526,-4.523648064241488e-05,-5.5015030753360336e-05,-0.01516356791432353
,,0.0,2.2495036125183105,0.0,-0.44904120791263535,-4.563894496848031e-05,-5.4562258386536136e-05,-0.014325939035698673
,,0.0,2.4994394779205322,0.0,-0.45055799534149743,-4.622377594229514e-05,-5.551182265584778e-05,-0.013850528050533214
,,0.0,2.749174118041992,0.0,-0.45222646151324536,-4.624264145757972e-05,-5.475091353937957e-05,-0.015593701662806518
,,0.0,2.999300241470337,0.0,-0.45427412454220706,-4.623006444739011e-05,-5.523512843167759e-05,-0.010516991499790126
,,0.0,3.249279499053955,0.0,-0.4516955859131429,-4.668283681421436e-05,-5.6140673165325506e-05,-0.011956430315985393
,,0.0,3.498931646347046,0.0,-0.4507096740843842,-4.687149196705779e-05,-5.610294213475662e-05,-0.012771420576268984
,,0.0,3.74894642829895,0.0,-0.4502167181700036,-4.7255090777839355e-05,-5.6046345588904314e-05,-0.013676965309917325
,,0.0,3.9998581409454346,0.0,-0.4494204047698515,-4.751920799182028e-05,-5.696446733274151e-05,-0.013044970547891917
,,0.0,4.248987197875977,0.0,-0.4507096740843813,-4.7575804537673276e-05,-5.6951890322552015e-05,-0.01481455588156318
,,0.0,4.498886346817017,0.0,-0.45340197177061164,-4.825496308790968e-05,-5.702735238368964e-05,-0.014539119358411772
,,0.0,4.748882055282593,0.0,-0.453288212713448,-4.820465504715143e-05,-5.7549298306556195e-05,-0.01097731007272805
,,0.0,4.998822450637817,0.0,-0.44676602676934424,-4.8827217051534635e-05,-5.788258907657981e-05,-0.014322165932641882
,,0.0,5.248740196228027,0.0,-0.44888952916975133,-4.883350555662919e-05,-5.800835917847531e-05,-0.012377131306826281
,,0.0,5.498553514480591,0.0,-0.4491928866555217,-4.840588721018421e-05,-5.8347938453593565e-05,-0.012599744387181486
,,0.0,5.748684644699097,0.0,-0.4516197465417004,-4.870773545473372e-05,-5.9039674014019356e-05,-0.013729788752713575
,,0.0,5.998245716094971,0.0,-0.44915496696980084,-4.973905029027768e-05,-5.9178021126104347e-05,-0.014173128361895618
,,0.0,6.24815821647644,0.0,-0.44756234016949586,-4.946235606610714e-05,-5.8901326901934156e-05,-0.014324052484170343
,,0.0,6.496875762939453,0.0,-0.45306069459911846,-4.950637560177087e-05,-5.866236370833243e-05,-0.015039055513446795
,,0.0,6.746835470199585,0.0,-0.45021671817000397,-4.8864948082103085e-05,-5.886359587136548e-05,-0.015625773038789856
,,0.0,6.99681282043457,0.0,-0.4472589826837247,-4.937431699478029e-05,-5.8863595871365625e-05,-0.01559558821433486
,,0.0,7.24673867225647,0.0,-0.45120262999876215,-4.941833653044371e-05,-5.908998205477766e-05,-0.013522268084585646
,,0.0,7.496703147888184,0.0,-0.4510509512558779,-5.029872724371304e-05,-6.017160493107979e-05,-0.01812734036549364
,,0.0,7.746654748916626,0.0,-0.4466522677121794,-5.0323881264092244e-05,-5.981316014067727e-05,-0.015410706164548479
,,0.0,7.996648788452148,0.0,-0.4507096740843842,-4.987110889726798e-05,-6.014016240560617e-05,-0.01578424336717827
,,0.0,8.246358633041382,0.0,-0.45033047722716923,-4.979564683613044e-05,-5.951760040122246e-05,-0.014674951068459017
,,0.0,8.496533155441284,0.0,-0.4502167181700036,-5.058170997297819e-05,-6.046716467053473e-05,-0.01511451757458422
,,0.0,8.746468305587769,0.0,-0.4482448945124846,-5.039934332522968e-05,-6.086334049150606e-05,-0.01412785112521316
,,0.0,8.996431827545166,0.0,-0.44729690236944425,-5.0122649101059055e-05,-6.12532278073824e-05,-0.013239285355320613
,,0.0,9.246395349502563,0.0,-0.44797945671243244,-5.0399343325229645e-05,-6.117147724114993e-05,-0.013886372529573553
,,0.0,9.496140241622925,0.0,-0.4502546378557253,-5.048738239655639e-05,-6.135384388889886e-05,-0.014316506278056633
,,0.0,9.745885133743286,0.0,-0.4537053292563841,-5.082067316657969e-05,-6.142301744494108e-05,-0.012880840564918103
,,0.0,9.995840787887573,0.0,-0.44873785042686304,-5.156900527285885e-05,-6.188836682195553e-05,-0.01391655735402847
,,0.0,10.245813608169556,0.0,-0.4477140189123819,-5.162560181871177e-05,-6.206444496460913e-05,-0.015152248605152914
,,0.0,10.495783805847168,0.0,-0.4468418661407864,-5.1889719032692766e-05,-6.229083114802186e-05,-0.013797704607737148
,,0.0,10.745724201202393,0.0,-0.44733482205516767,-5.173250640532318e-05,-6.22845426429268e-05,-0.012871407807275935
,,0.0,10.995690822601318,0.0,-0.4487757701125853,-5.207208568044124e-05,-6.311462531543785e-05,-0.013210987082394113
,,0.0,11.245664358139038,0.0,-0.447524420483775,-5.20154891345882e-05,-6.330956897337613e-05,-0.015139042744453888
,,0.0,11.4956374168396,0.0,-0.4480932157695978,-5.2248163823095184e-05,-6.269958397918232e-05,-0.01586347853137253
,,0.0,11.745605707168579,0.0,-0.4526435780561812,-5.2575166088023655e-05,-6.32089528918596e-05,-0.01459948900732166
,,0.0,11.995577335357666,0.0,-0.4429740581971917,-5.330463267901819e-05,-6.381893788605326e-05,-0.015391840649264042
,,0.0,12.245319604873657,0.0,-0.4473348220551666,-5.2763821240867136e-05,-6.369316778415727e-05,-0.013916557354028495
,,0.0,12.495526313781738,0.0,-0.4541603654850427,-5.286443732238351e-05,-6.41207861306025e-05,-0.0171897242558618
,,0.0,12.745499610900879,0.0,-0.4505200756557737,-5.3279478658639223e-05,-6.417738267645496e-05,-0.015489941328742648
,,0.0,12.995336055755615,0.0,-0.4499892000556731,-5.302793845484819e-05,-6.409563211022339e-05,-0.01224695925136423
,,0.0,13.245532512664795,0.0,-0.44691770551222876,-5.366307746942043e-05,-6.429686427325658e-05,-0.01360527635183688
,,0.0,13.49541687965393,0.0,-0.4470314645693956,-5.4027810764918075e-05,-6.45798470025214e-05,-0.015620113384204557
,,0.0,13.745245933532715,0.0,-0.4512026299987631,-5.385173262226399e-05,-6.477479066045893e-05,-0.014786257608636673
,,0.0,13.995074987411499,0.0,-0.4526056583704604,-5.3795136076411216e-05,-6.534704462408406e-05,-0.013312860864929534
,,0.0,14.24504566192627,0.0,-0.45400868674215783,-5.390832916811704e-05,-6.540364116993762e-05,-0.018236760354142737
,,0.0,14.494957685470581,0.0,-0.44718314331228104,-5.433594751456197e-05,-6.58123940010978e-05,-0.014052389064075735
,,0.0,14.744893550872803,0.0,-0.44771401891238105,-5.407811880567618e-05,-6.581868250619286e-05,-0.015106971368470475
,,0.0,14.994829416275024,0.0,-0.44805529608387773,-5.4732123335533454e-05,-6.581868250619266e-05,-0.0161973981519054
,,0.0,15.244955778121948,0.0,-0.44938248508413076,-5.529180028896865e-05,-6.728390419327692e-05,-0.014390081787665487
,,0.0,15.495082139968872,0.0,-0.45252981899901695,-5.46629497794908e-05,-6.74033857900773e-05,-0.015354109618695296
,,0.0,15.745035886764526,0.0,-0.4496100031984586,-5.589549677806748e-05,-6.761090645820499e-05,-0.013595843594194681
,,0.0,15.994850158691406,0.0,-0.4485482519982583,-5.5040260085177206e-05,-6.736565475950882e-05,-0.0153710885824513
,,0.0,16.245782375335693,0.0,-0.45017879848428216,-5.538612786539045e-05,-6.818316042183019e-05,-0.014092006646172859
,,0.0,16.494861841201782,0.0,-0.4490791275983577,-5.576972667617196e-05,-6.72461731627081e-05,-0.015022076549691017
,,0.0,16.74477195739746,0.0,-0.454008686742156,-5.474470034572317e-05,-6.781842712633255e-05,-0.01639548606239101
,,0.0,16.995785236358643,0.0,-0.45218854182752316,-5.5731995645603255e-05,-6.783729264161708e-05,-0.016493586741869546
,,0.0,17.245227336883545,0.0,-0.45070967408438284,-5.590178528316254e-05,-6.734678924422415e-05,-0.014197653531765267
,,0.0,17.494595766067505,0.0,-0.44733482205516756,-5.504654859027249e-05,-6.761090645820499e-05,-0.01342605395663558
,,0.0,17.744306325912476,0.0,-0.4494962441412933,-5.517860719726267e-05,-6.773667656010112e-05,-0.012946869868413386
,,0.0,17.99449586868286,0.0,-0.4514301481130912,-5.4870470447618465e-05,-6.80196592893658e-05,-0.015637092347960454
,,0.0,18.244685411453247,0.0,-0.44995128036995247,-5.5373550855200924e-05,-6.78938891874701e-05,-0.011873422048734285
,,0.0,18.494415521621704,0.0,-0.4473727417408883,-5.558107152332845e-05,-6.795677423841822e-05,-0.014086346991587638
,,0.0,18.744627952575684,0.0,-0.45518419699952306,-5.60841519309111e-05,-6.832150753391497e-05,-0.013659986346161402
,,0.0,18.9945707321167,0.0,-0.45283317648478905,-5.6096728941100575e-05,-6.830264201863098e-05,-0.015537105116953463
,,0.0,19.24437189102173,0.0,-0.45180934497030695,-5.5914362293352064e-05,-6.87491258803604e-05,-0.013129865366671507
