0,1,Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V)
Fecha,09_06_2022,,,,
Hora de inicio,14_36_22,,,,
Hora de finalización,14_36_42,,,,
Voltage de salida analoga,0.5,,,,
Observaciones,Prueba de pruebas,,,,
,,0.0,-0.5770959865942267,-0.00011215371079464284,-0.0004835402446821914
,,0.0,-0.5333366692715845,-0.00011864973655755136,-0.0004781698613312486
,,0.0,-0.5095231066384647,-9.806745938233443e-05,-0.00046701405329310753
,,0.0,-0.5039868325231226,-0.00010672044239275234,-0.0004697369759991481
,,0.0,-0.49109413937780383,-0.0001093616145325603,-0.00047263597684784155
,,0.0,-0.5135425933249452,-0.00011451818871028056,-0.00047501932027876344
,,0.0,-0.5234396312982655,-0.00011747378610482721,-0.0004862380133678519
,,0.0,-0.49958814897942355,-0.00010700971362711212,-0.0004832509734478313
,,0.0,-0.5293930219565463,-0.00011013510065921848,-0.0004700828437793607
,,0.0,-0.48366188097638246,-0.00011070106611774845,-0.0004764656764505628
,,0.0,-0.48085582423298984,-0.00010323661057024416,-0.00047886159689167435
,,0.0,-0.5057311380663124,-0.00012530297494782862,-0.0004891118601961665
,,0.0,-0.5661751171064264,-0.00010321774505495982,-0.0004714663149002124
,,0.0,-0.5397830158442435,-0.00011258761764618281,-0.0004863763604799372
,,0.0,-0.5168795256684414,-0.00011249329006976111,-0.0004899419428686779
,,0.0,-0.5234775509839883,-0.00011178268899405068,-0.0004819366758830221
,,0.0,-0.5099781428671243,-0.00012667386905849102,-0.0004795596209571945
