0,1,Cuentas de vueltas,Muestreo (s),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitacion (V)
Fecha,14_07_2022,,,,,,,
Hora de inicio,16_36_55,,,,,,,
Hora de finalización,16_37_45,,,,,,,
Voltage de salida analoga,0.0,,,,,,,
Voltaje offset celda 1,-0.003843163257494884,,,,,,,
Voltaje offset celda 2,-0.03581601054138955,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.24997854232788086,0.0,-0.4525677386847402,-8.633939738056933e-05,-0.0004162658171782289,-0.005751562338965412
,,0.0,0.49988698959350586,0.0,-0.44843449294108956,-4.832280614187616e-05,-5.865281170757915e-05,-0.005138433092224297
,,0.0,0.7497129440307617,0.0,-0.4509371921987116,-4.845486474886655e-05,-5.8841466860422854e-05,-0.00660805673287445
,,0.0,0.9994208812713623,0.0,-0.4520747827703575,-4.8549192325288086e-05,-5.8476733564925696e-05,-0.006123212990066915
,,0.0,1.249483585357666,0.0,-0.4521127024560804,-4.848001876924547e-05,-5.874713928400131e-05,-0.00583457060621646
,,0.0,1.499462604522705,0.0,-0.448358653569648,-4.9284947421377324e-05,-5.913702659987738e-05,-0.00527992445685687
,,0.0,1.7494118213653564,0.0,-0.44824489451248245,-4.907742675324979e-05,-5.8753427789095954e-05,-0.004613971767319711
,,0.0,1.999342918395996,0.0,-0.4484724126268137,-4.958050716083208e-05,-5.938227829857395e-05,-0.006110007129367942
,,0.0,2.2495899200439453,0.0,-0.45275733711334565,-4.919061984495582e-05,-5.950804840046959e-05,-0.006585418114533324
,,0.0,2.4992141723632812,0.0,-0.45139222842737264,-4.9681123242348815e-05,-5.916846912535141e-05,-0.0069910266931466885
,,0.0,2.7491540908813477,0.0,-0.45192310402747254,-4.939814051308331e-05,-5.9149603610067005e-05,-0.006164717123692529
,,0.0,2.9989452362060547,0.0,-0.4496100031984586,-4.9429583038557284e-05,-5.938856680366873e-05,-0.007507941811937617
,,0.0,3.249058723449707,0.0,-0.44835865356964705,-4.941071752327314e-05,-6.0149475920136806e-05,-0.007191001155160668
,,0.0,3.4988245964050293,0.0,-0.44995128036995086,-4.9876066900287124e-05,-5.974072308897627e-05,-0.006074162650327664
,,0.0,3.7488651275634766,0.0,-0.453932847370713,-5.037914730786945e-05,-6.064626782262487e-05,-0.007609815594473072
,,0.0,3.9988951683044434,0.0,-0.44987544099850885,-5.064326452185019e-05,-6.0401016123928507e-05,-0.006915564632009312
,,0.0,4.248651027679443,0.0,-0.45105095125587685,-5.093253575621007e-05,-6.125625281681868e-05,-0.005704398550754524
,,0.0,4.498538017272949,0.0,-0.45116471031304184,-5.092624725111538e-05,-6.175304471930626e-05,-0.007006119105374211
,,0.0,4.748507976531982,0.0,-0.4514680677988131,-5.125953802113879e-05,-6.138831142380903e-05,-0.007079694614982998
