0,1,Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitación (V)
Fecha,09_06_2022,,,,,
Hora de inicio,19_55_16,,,,,
Hora de finalización,19_55_55,,,,,
Voltage de salida analoga,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,
,,0.0,-0.2795781324231194,-0.009165595014153354,-0.011760691277131717,5.000992064142311
,,0.0,-0.2791610158801822,-0.00916561387966864,-0.01176062210357567,5.000899623117416
,,0.0,-0.27275258899324406,-0.009165412647505604,-0.011760232216259794,5.001031681724406
,,0.0,-0.2762032803939028,-0.009165833977346959,-0.01176092395182022,5.000978858281614
,,0.0,-0.276468718193954,-0.00916551326358713,-0.0117605843725451,5.000892076911307
,,0.0,-0.27104620313577604,-0.00916584655435715,-0.01176029510131074,5.001007156554536
,,0.0,-0.27726503159410715,-0.009165695630234876,-0.011762137633303518,5.001033568275937
,,0.0,-0.27711335285122035,-0.009166167268116986,-0.011761093741457784,5.000903396220473
,,0.0,-0.278288863108588,-0.009165928304923384,-0.011761930112635391,5.0009052827720035
,,0.0,-0.27013613067846004,-0.009165934593428474,-0.0117617917655233,5.000935467596457
,,0.0,-0.2780613449942589,-0.00916594088193357,-0.011761867227584438,5.0009052827720035
,,0.0,-0.27400393862205435,-0.009165840265852057,-0.011761552802329697,5.000799635886408
,,0.0,-0.27552072605091615,-0.00916817958974731,-0.011765954755896044,5.000980744833141
,,0.0,-0.27938853399451213,-0.009166337057754543,-0.011761955266655766,5.0010543203427495
,,0.0,-0.2758620032224098,-0.00916586541987243,-0.011761282396610624,5.000971312075499
,,0.0,-0.2778717465656497,-0.009165695630234874,-0.011761137760993435,5.000963765869384
,,0.0,-0.2747623323364851,-0.009166060363530371,-0.011761200646044391,5.000895850014363
,,0.0,-0.2799194095946124,-0.009166532001412481,-0.011762452058558257,5.001016589312183
,,0.0,-0.27832678279430856,-0.009165815111831671,-0.011761056010427212,5.000926034838817
,,0.0,-0.2795022930516765,-0.009166060363530371,-0.011760854778264176,5.0009279213903435
,,0.0,-0.27165291810732056,-0.00916609809456094,-0.011761162915013825,5.0009467869056285
