0,1,Cuentas de vueltas,Muestreo (s),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitacion (V)
Fecha,12_07_2022,,,,,,,
Hora de inicio,14_33_29,,,,,,,
Hora de finalización,14_34_43,,,,,,,
Voltage de salida analoga,0.0,,,,,,,
Voltaje offset celda 1,-0.0016724968178404068,,,,,,,
Voltaje offset celda 2,-0.02789555051116885,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.24995827674865723,0.060194870181133855,-0.45006503942711623,-4.687273940572698e-05,-0.00030858774444030257,-1.6445692525437484e-05
,,6.0,0.49608421325683594,0.060194732232142244,-0.4468797858265082,-2.0884803222710876e-05,-1.0785589559556482e-05,0.00037218392233198336
,,11.0,0.7373533248901367,0.06019418044249854,-0.4451733999690394,-1.6155847391435837e-05,-3.528654680179863e-06,-0.0003258401431887226
,,15.0,0.9794862270355225,0.060194870181133855,-0.445059640911875,-3.421624574505176e-06,1.9644486594086256e-05,-3.1538104752906194e-05
,,20.0,1.2293298244476318,0.06019418044249854,-0.44949624414129224,6.281727065330506e-07,2.6536688177965644e-05,-0.0004956297807477439
,,24.0,1.4759657382965088,0.060194870181133855,-0.4491170472840779,4.69683550285586e-06,3.3158484042769655e-05,-0.0003994156527975168
,,30.0,1.7261772155761719,0.06019418044249854,-0.4473348220551665,1.7487654865641068e-05,5.469032548729807e-05,0.00022691945464260453
,,34.0,1.978379726409912,0.060194870181133855,-0.4505200756557745,2.1600337197628276e-05,6.140016042342884e-05,-0.0007088101034608218
,,39.0,2.2296600341796875,0.06019418044249854,-0.4466522677121783,2.9027061714564298e-05,7.412180623016986e-05,3.826430179910245e-05
,,43.0,2.481337070465088,0.060194870181133855,-0.4440737290831148,3.3315822189204654e-05,8.089452621724862e-05,-0.0001220925781177118
,,48.0,2.734499931335449,0.060194870181133855,-0.4441874881402778,4.3044139570830116e-05,9.614415107209142e-05,-0.0001032270628333909
,,53.0,2.9797377586364746,0.060194870181133855,-0.4479036173409885,4.521367382852935e-05,9.901170939531118e-05,-8.247499602066721e-05
,,57.0,3.2310895919799805,0.060194870181133855,-0.44843449294109083,5.48791061592066e-05,0.00011379598487314006,0.0004457594319409108
,,62.0,3.475360631942749,0.060194870181133855,-0.44896536854119246,6.249448582898597e-05,0.00012470025270748994,-0.0003390460038877152
