0,1,Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitación (V)
Fecha,10_06_2022,,,,,
Hora de inicio,07_05_06,,,,,
Hora de finalización,07_05_10,,,,,
Voltage de salida analoga,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,
,,0.0,-0.44460460468321567,-5.56200499925664e-05,-0.0003750823973125113,0.0005306542507205747
,,0.0,-0.44430124719744424,-5.6154572925622585e-05,-0.0003763966948773204,-1.078603794006927e-05
,,0.0,-0.44460460468321583,-5.753804404647433e-05,-0.00037796253264592105,8.165498695315909e-05
,,0.0,-0.4451354802833181,-5.850018532597572e-05,-0.00037920765665468815,-7.115568685000407e-05
,,0.0,-0.44323949599724055,-5.9695001293983946e-05,-0.0003805219542194968,0.00027031013979659455
,,0.0,-0.44104015422539217,-6.0506218451210266e-05,-0.00038210036899828605,-6.172292920789691e-05
,,0.0,-0.44054719831101313,-6.13614551441009e-05,-0.00038355930218027576,1.5625683457889395e-05
,,0.0,-0.4428223794543049,-6.272606074966816e-05,-0.0003846094825311041,0.00012881877516400796
,,0.0,-0.4429740581971905,-6.285811935665864e-05,-0.0003860181076723349,0.00030992772189381235
,,0.0,-0.44475628342610113,-6.38642801718233e-05,-0.0003876468304918836,0.00027031013979654126
,,0.0,-0.4469177055122305,-6.531692484871784e-05,-0.00038880391542932296,0.0005004694262656373
,,0.0,-0.44369453222589955,-6.58891788123428e-05,-0.0003898918268107201,-0.00010511361436176702
,,0.0,-0.44377037159734245,-6.680101205108601e-05,-0.0003907533520087048,4.581050791297336e-05
,,0.0,-0.44615931179779744,-6.724749591281553e-05,-0.0003919921875123761,6.090292014043541e-05
,,0.0,-0.44221566448276,-6.85806589929089e-05,-0.00039374039192872494,-0.00013529843881677773
