0,1,Cuentas de vueltas,Muestreo (s),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitación (V)
Fecha,10_06_2022,,,,,,,
Hora de inicio,07_47_54,,,,,,,
Hora de finalización,07_48_02,,,,,,,
Voltage de salida analoga,,,,,,,,
ObservacionesPrueba con todo,,,,,,,,
,,0.0,1654865274.8082223,0.0,-0.4425190219685313,7.096126906027261e-05,-0.00026800802106368343,-7.304223837849344e-05
,,0.0,1654865275.0579722,0.0,-0.44202606605415207,6.867225320577276e-05,-0.00027069950124424913,0.00013447842974931623
,,0.0,1654865275.3083622,0.0,-0.4427465400828607,6.581727189274269e-05,-0.00027386261930692425,0.0001854153210170306
,,0.0,1654865275.5579212,0.0,-0.4430498975686339,6.362258361466405e-05,-0.00027648492593144774,0.0004118015044292211
,,0.0,1654865275.8080983,0.0,-0.44460460468321594,6.047204256217906e-05,-0.00027949711987184723,0.00023069255769949006
,,0.0,1654865276.0581515,0.0,-0.4446425243689387,5.895022432924217e-05,-0.0002817735587161579,-0.0001277522327029801
,,0.0,1654865276.3080015,0.0,-0.4461972314835199,5.645997631170924e-05,-0.00028369155277006657,0.0002929487581378009
,,0.0,1654865276.557886,0.0,-0.4424431825970885,5.405776736550271e-05,-0.0002863641674353478,0.00012127256905026363
,,0.0,1654865276.8126173,0.0,-0.4442254078260004,5.178761702628729e-05,-0.0002889864740598713,0.0001986211817161099
,,0.0,1654865277.0579183,0.0,-0.4433153353686836,4.978158390105212e-05,-0.0002911874508430447,-7.304223837847345e-05
,,0.0,1654865277.3082337,0.0,-0.4471452236265581,4.813399556621967e-05,-0.0002934450241720713,5.901636861191273e-05
,,0.0,1654865277.5583832,0.0,-0.44437708656888775,4.563117053849677e-05,-0.0002957466170367603,0.00011938601752190748
,,0.0,1654865277.8079214,0.0,-0.44631099054068507,4.317865355153248e-05,-0.0002983940776816628,4.015085332759849e-05
,,0.0,1654865278.058305,0.0,-0.4427844597685816,4.102798480911721e-05,-0.0003007522670922061,0.00030049496425161193
,,0.0,1654865278.308022,0.0,-0.44676602676934274,3.9543897606749213e-05,-0.0003026702611461146,-6.73825837931985e-05
,,0.0,1654865278.5584285,0.0,-0.44487004248326595,3.656314619182317e-05,-0.00030541204936743833,-0.00010322706283344418
,,0.0,1654865278.8081744,0.0,-0.4412676723397219,3.502875094869662e-05,-0.0003072357158449248,0.0003118142734222018
,,0.0,1654865279.0577831,0.0,-0.4472969023694429,3.315477643045202e-05,-0.00030946184664847715,-0.0001315253357598256
,,0.0,1654865279.3081608,0.0,-0.44263278102569564,3.01928905308106e-05,-0.00031198982569657826,0.0002627639336828302
,,0.0,1654865279.5581186,0.0,-0.4422156644827603,2.87528228641059e-05,-0.0003136877220721689,-0.0005786380479987851
,,0.0,1654865279.8080704,0.0,-0.44377037159734295,2.7199562105695474e-05,-0.00031550510004456074,0.0003967090922016725
,,0.0,1654865280.0582461,0.0,-0.44217774479703853,2.4690448572877965e-05,-0.0003181525606894635,0.00045141908652626575
,,0.0,1654865280.3077033,0.0,-0.445287159026203,2.3325842967310485e-05,-0.00031995107314657117,0.00012315912057870638
,,0.0,1654865280.5582385,0.0,-0.44468044405465934,2.193608334136421e-05,-0.00032186906720047844,0.0004268939166566566
,,0.0,1654865280.8076866,0.0,-0.441950226682711,1.9741395063285338e-05,-0.0003229884211073493,0.0004099149529007451
,,0.0,1654865281.0595014,0.0,-0.4446804440546576,1.7628457351439585e-05,-0.0003258119598949061,0.00031370082495055127
,,0.0,1654865281.3076463,0.0,-0.4432774156829625,1.5798502368858136e-05,-0.00032749727926030764,1.3739131929573211e-05
,,0.0,1654865281.557824,0.0,-0.44475628342610196,1.3880508314950068e-05,-0.00032966681351800654,0.00031558737647900735
,,0.0,1654865281.8080323,0.0,-0.44168478888265916,1.202539931198996e-05,-0.0003325280833361315,0.00040991495290061187
,,0.0,1654865282.057763,0.0,-0.44395997002594906,9.415669697655904e-06,-0.0003347101946040208,0.0003495453039908502
