0,1,Cuentas de vueltas,Muestreo (s),Torque de referencia (N-m),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de control difuso (V),Voltaje de excitacion (V)
Fecha,14_07_2022,,,,,,,,,
Hora de inicio,16_38_43,,,,,,,,,
Hora de finalización,16_39_36,,,,,,,,,
Voltage de salida analoga,0.0,,,,,,,,,
Voltaje offset celda 1,-0.010344650354867715,,,,,,,,,
Voltaje offset celda 2,-0.04314301141735226,,,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,,,
,,0,0,0,0,0,0,0,0,0
,,0,4.747283458709717,0.0,0.0,-0.44911704728407875,-2.9972446199052864e-06,-3.5377171565836167e-06,{'V': 0.0},-0.0054685796097002455
,,0,4.997180461883545,0.0,0.0,-0.4474485811123313,-2.7079733855455736e-06,-3.1163873152337262e-06,{'V': 0.0},-0.0047686689926512045
,,0,5.247373819351196,0.0,0.0,-0.4546912410851443,-2.4627216868489293e-06,-3.374216024119511e-06,{'V': 0.0},-0.004744143822781521
,,0,5.497117280960083,0.0,0.0,-0.4527573371133455,-2.04139184549864e-06,-2.8334045859687574e-06,{'V': 0.0},-0.007004232553845669
,,0,5.746814489364624,0.0,0.0,-0.44968584256990124,-1.6766585500011324e-06,-2.5944413923666144e-06,{'V': 0.0},-0.00685519498309939
,,0,5.996851444244385,0.0,0.0,-0.44953416382701594,-1.777274631517868e-06,-2.4623827853766794e-06,{'V': 0.0},-0.008304066556936867
,,0,6.247101068496704,0.0,0.0,-0.450444236284333,-1.5383114379163495e-06,-2.1668230459218757e-06,{'V': 0.0},-0.0057364699267379105
,,0,6.496223211288452,0.0,0.0,-0.44877577011258396,-1.9407757639822338e-06,-2.1794000561113637e-06,{'V': 0.0},-0.007111765990966506
,,0,6.745800495147705,0.0,0.0,-0.4485861716839784,-1.2050206678927353e-06,-2.588152887271905e-06,{'V': 0.0},-0.007924869699721579
,,0,6.995762348175049,0.0,0.0,-0.45362948988494095,-1.607484993958533e-06,-1.7014736689086041e-06,{'V': 0.0},-0.005155412055980155
,,0,7.245692253112793,0.0,0.0,-0.4504821559700529,-1.6074849939588277e-06,-1.1732392409467136e-06,{'V': 0.0},-0.006100574371725729
,,0,7.495639801025391,0.0,0.0,-0.4501029591128383,-1.1295586067550794e-06,-1.380759909074894e-06,{'V': 0.0},-0.005125227231525238
