0,1,Cuentas de vueltas,Muestreo (s),Torque de referencia (N-m),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de control difuso (V),Voltaje de excitacion (V)
Fecha,16_08_2022,,,,,,,,,
Hora de inicio,11_46_27,,,,,,,,,
Hora de finalización,11_48_48,,,,,,,,,
Voltage de salida analoga,100.0,,,,,,,,,
Voltaje offset celda 1,-0.008737981234823658,,,,,,,,,
Voltaje offset celda 2,-0.010224558735416988,,,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,10067.0,4296.63654088974,100.0,10.853856437144074,-0.25913942181921684,3.4239090214629315e-07,-3.3806551520908744e-06,0.4056337787232372,5.030327940409459
,,10479.0,4296.888127326965,100.0,10.827012604240997,-0.26323474787714085,-4.749641372965227e-08,1.0317667041695455e-07,0.405629921959541,5.03437647998948
,,10580.0,4297.135639429092,100.0,10.831477351706663,-0.26160420139111434,3.4254152502365823e-08,-1.7456438274481358e-06,0.40563211162922075,5.039100405016679
,,10679.0,4297.386252403259,100.0,10.831477351706663,-0.2633485069343052,-3.682101735636052e-07,-1.0036002262639975e-06,0.40563169363078355,5.036140405668565
,,10785.0,4297.635278463364,100.0,10.809190361271053,-0.25891190370488665,-1.1038146467761204e-07,-2.1229541331349575e-06,0.40563274254399634,5.032129597119115
,,10892.0,4297.8848559856415,100.0,10.831477351706663,-0.26247635416271164,2.10332295156445e-07,-2.361917326736598e-06,0.4056326564901406,5.035831011217901
,,10990.0,4298.1346933841705,100.0,10.835945782957367,-0.26380354316296456,3.235253868623389e-07,-8.463875988946185e-07,0.4056306465813251,5.034142547599953
,,11088.0,4298.384609222412,100.0,10.831477351706663,-0.2617179604482795,1.6631275949278642e-07,-2.387071347115608e-06,0.4056327402745549,5.0388098760813005
,,11195.0,4298.634569644928,100.0,10.853856437144074,-0.2639173022201287,-1.2924697996193058e-07,-1.6638932612160483e-06,0.4056322268824399,5.037736428261619
,,11298.0,4298.8844311237335,100.0,10.831477351706663,-0.26020117301941903,1.537357493033506e-07,-2.160685163703456e-06,0.40563247783434986,5.035995141200875
