0,1,Cuentas de vueltas,Muestreo (s),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitación (V)
Fecha,10_06_2022,,,,,,,
Hora de inicio,10_49_25,,,,,,,
Hora de finalización,10_49_35,,,,,,,
Voltage de salida analoga,,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,
,,0.0,0.2601284980773926,9.639021129500426,-0.5039868325231276,-0.00012006465020387718,-0.0004966266237844292,-0.002851932639762078
,,0.0,0.5063230991363525,9.642559683512724,-0.5064516120950256,-0.00012042309499427972,-0.0004968278559474621,-0.0032349026000341573
,,0.0,0.753150224685669,9.639021129500426,-0.5091059900955334,-0.00012095761792733621,-0.0004969599145544523,-0.0057647681996644455
,,0.0,1.0095129013061523,9.624892846423107,-0.5019770891798854,-0.00012074380875411373,-0.0004969033180085994,-0.00273685299652753
,,0.0,1.2563965320587158,9.646100836536416,-0.5023562860371009,-0.00012059917313693357,-0.0004965826042487658,-0.0005390204659018404
,,0.0,1.5036652088165283,9.62136724464786,-0.509636865695634,-0.0001206620581878814,-0.0004967398168761356,-0.003216037084749897
,,0.0,1.7550346851348877,0.0,-0.5047073065518358,-0.00012019670881086765,-0.0004965951812589552,-0.0029538064222974737
,,0.0,2.0048959255218506,9.642559683512724,-0.5086130341811521,-0.00012086329035091428,-0.0004966454892997137,-0.0034839274017875346
,,0.0,2.262420892715454,0.0,-0.5090680704098097,-0.00012033505592295297,-0.0004963059100245957,0.001128691085233988
,,0.0,2.5032145977020264,0.0,-0.49936063086510074,-0.00012031619040766838,-0.0004963121985296902,-0.00677030016431978
,,0.0,2.7688851356506348,0.0,-0.508461355438267,-0.00012048598004522746,-0.0004965700272385761,0.0015890096581719268
,,0.0,3.0045197010040283,9.639021129500426,-0.49845055840778385,-0.00011999547664783457,-0.0004962367364685528,-0.003355641897853907
,,0.0,3.2526326179504395,0.0,-0.5006119804939094,-0.00011959930082686348,-0.0004962052939430791,-0.00199732479738135
,,0.0,3.502659320831299,0.0,-0.5014082938940635,-0.00011976909046442264,-0.0004960669468309938,-0.0043328755895829605
,,0.0,3.758488416671753,0.0,-0.5097127050670757,-0.00012038536396371092,-0.0004963059100245953,0.0013060269289068673
,,0.0,4.004417181015015,9.62136724464786,-0.5044797884375062,-0.00011975651345423288,-0.0004961046778615623,-0.002253895805248398
,,0.0,4.252579689025879,0.0,-0.49503778669284537,-0.00011992001458669712,-0.0004955953089488854,-0.0026859161052598356
,,0.0,4.508489608764648,9.642559683512724,-0.49200421183512416,-0.00012025330535672053,-0.0004957713870915389,-0.0047479169258383734
,,0.0,4.7548511028289795,9.639021129500426,-0.5006119804939112,-0.00011897673882248005,-0.0004952934607043362,-0.005395004100091332
,,0.0,5.006797552108765,9.617844224785303,-0.4986780765221121,-0.00011975651345423267,-0.0004954632503418945,-0.003033041586491696
,,0.0,5.257589101791382,9.642559683512724,-0.5043281096946205,-0.00011989486056631789,-0.000495620462969264,-0.003219810187806702
,,0.0,5.510354995727539,9.62136724464786,-0.5088026326097601,-0.00011936033763326178,-0.0004954192308062316,-0.007473983884425741
,,0.0,5.7646565437316895,9.62136724464786,-0.4982988796648975,-0.00011907106639890155,-0.0004951614020973452,0.004860290008476804
,,0.0,6.022341966629028,0.0,-0.492535087435226,-0.00011892014227662697,-0.0004947086297305214,-0.0034990198140150033
,,0.0,6.264754772186279,0.0,-0.5158177744682426,-0.00011986341804084421,-0.0004958091181221076,0.0016154213795701322
,,0.0,6.508251905441284,0.0,-0.49928479149365856,-0.00011862458253717243,-0.0004946834757101424,-0.009643518142124982
,,0.0,6.7519636154174805,0.0,-0.504403949066063,-0.00011919683650079733,-0.000494714918235616,-0.014371216272380853
,,0.0,7.005119562149048,0.0,-0.5040247522088483,-0.00011868117908302556,-0.0004944193584961613,0.0021568616682307094
,,0.0,7.252530574798584,0.0,-0.5036455553516338,-0.00011891385377153245,-0.0004945954366388151,-0.0037687966825810104
,,0.0,7.502689361572266,9.631951807073216,-0.49958814897943016,-0.00011870633310340453,-0.0004946708986999521,-0.005874188188313632
,,0.0,7.7541823387146,0.0,-0.5028871616371994,-0.00011831644578752823,-0.0004940986447363277,-0.0049252527695111455
,,0.0,8.003531455993652,0.0,-0.5075892026666716,-0.000118693756093215,-0.0004941552412821807,-0.00974350537313197
,,0.0,8.252955675125122,0.0,-0.5036834750373537,-0.00011932889510778789,-0.0004945388400929626,-0.007517374569579725
,,0.0,8.511341333389282,0.0,-0.5151352201252548,-0.00011919054799570254,-0.0004943942044757829,-0.026550792939951925
,,0.0,8.76994276046753,0.0,-0.4998156670937568,-0.00011841706186904468,-0.0004942369918484129,-0.023919053557786334
,,0.0,9.003103733062744,0.0,-0.5045177081232289,-0.00011850510094037156,-0.0004948155343171325,-0.042020515473112016
,,0.0,9.271214008331299,9.635485171639274,-0.49446899140702394,-0.00011844221588942365,-0.0004947463607610898,-0.060750199047406465
,,0.0,9.50529146194458,0.0,-0.4972371284646948,-0.00011776934584428216,-0.0004949853239546917,-0.04878380270254857
,,0.0,9.75585651397705,9.617844224785303,-0.4982230402934531,-0.00011807119408883175,-0.0004954884043622739,-0.08938805124903682
,,0.0,10.0017249584198,0.0,-0.515704015411078,-0.00011861200552698277,-0.0004975258800129828,-0.11892767508125901
