0,1,Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de excitación (V)
Fecha,09_06_2022,,,,,
Hora de inicio,20_05_23,,,,,
Hora de finalización,20_05_49,,,,,
Voltage de salida analoga,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,
,,0.0,-0.27131164093582566,-0.009167343218569707,-0.011761860939079343,5.001376920654112
,,0.0,-0.2733213842790675,-0.009166657771514377,-0.011762112479283134,5.0013391896235415
,,0.0,-0.26554784870615417,-0.009166959619758924,-0.011763672028546642,5.001420311339265
,,0.0,-0.27210795433597823,-0.009167041370325157,-0.011762647002216197,5.00142785754538
,,0.0,-0.2666475195920788,-0.009166701791050036,-0.011762162787323893,5.001373147551056
,,0.0,-0.2687710219924837,-0.00916600376698452,-0.01176073529666738,5.001471248230535
,,0.0,-0.266306242420586,-0.00916540635900052,-0.011759150593383496,5.00142785754538
,,0.0,-0.2645619368773956,-0.009165003894674449,-0.01175839597277212,5.001492000297346
,,0.0,-0.2712737212501052,-0.009164695757924802,-0.011758276491175312,5.001373147551055
,,0.0,-0.26960525507835653,-0.009165519552092216,-0.011758917918694982,5.001373147551055
,,0.0,-0.26695087707785203,-0.009165400070495423,-0.01175872297503704,5.001425970993853
,,0.0,-0.26736799362078817,-0.009165299454413906,-0.01175910657384783,5.001386353411753
,,0.0,-0.2686572629353193,-0.00916537491647504,-0.011758559473904582,5.001484454091232
,,0.0,-0.26524449122038163,-0.009165016471684637,-0.011758660089986097,5.001435403751492
,,0.0,-0.2687331023067621,-0.009165362339464848,-0.011758741840552327,5.001375034102584
,,0.0,-0.26933981727830614,-0.009164865547562365,-0.011758572050914766,5.0013750341025816
,,0.0,-0.2716908377930416,-0.009165123376271248,-0.011759200901424243,5.0013429627266
,,0.0,-0.2674438329922305,-0.009164852970552173,-0.011759163170393676,5.001497659951931
,,0.0,-0.2696810944498005,-0.009165104510755964,-0.011758628647460623,5.001367487896471
,,0.0,-0.266495840849192,-0.009164513391277057,-0.011758169586588707,5.001301458592971
,,0.0,-0.2713495606215478,-0.009165330896939378,-0.01176038314038207,5.001418424787733
,,0.0,-0.2682022267066605,-0.009164985029159167,-0.011758194740609088,5.001348622381184
,,0.0,-0.27112204250721966,-0.009166343346259638,-0.011762364019486929,5.001516525467217
,,0.0,-0.2685435038781562,-0.009166362211774921,-0.011762389173507309,5.001378807205641
,,0.0,-0.2701361306784604,-0.009166525712907386,-0.011762640713711102,5.001458042369833
,,0.0,-0.2704774078499536,-0.009166764676100985,-0.011762024440211807,5.001418424787738
,,0.0,-0.2680126282780537,-0.009166576020948147,-0.011762062171242378,5.001442949957605
,,0.0,-0.27552072605091593,-0.009166198710642453,-0.011762873388399604,5.001514638915687
,,0.0,-0.27586200322240995,-0.00916615469110679,-0.01176220051835446,5.001435403751495
,,0.0,-0.26486529436316675,-0.009166355923269824,-0.011762125056293322,5.001397672720926
,,0.0,-0.2679367889066109,-0.009166267884198498,-0.011762722464277332,5.001476907885119
,,0.0,-0.2704015684785089,-0.009167896607018049,-0.011762301134435977,5.001512752364159
,,0.0,-0.27142539999299087,-0.009166670348524563,-0.011762301134435984,5.00138823996328
,,0.0,-0.26619248336341944,-0.00916664519450419,-0.011761810631038585,5.001425970993852
,,0.0,-0.2672921542493453,-0.00916632448074435,-0.011761999286191427,5.001380693757169
,,0.0,-0.2687710219924851,-0.00916630561522907,-0.011761904958615003,5.0013938996178675
,,0.0,-0.2718425165359286,-0.00916617355662208,-0.011762068459747472,5.001448609612193
,,0.0,-0.2679747085923324,-0.00916648169337172,-0.01176184836206915,5.001325983762841
,,0.0,-0.266988796763572,-0.009166506847392099,-0.011761886093099725,5.001316551005202
,,0.0,-0.256674642247318,-0.009164293293598738,-0.011758326799216075,5.0008449131230925
,,0.0,-0.21447003203925918,-0.009162714878819946,-0.01175516996965849,5.001233542737949
,,0.04868327833762158,-0.20104646329383977,-0.00916845628397148,-0.011766791127073654,5.001020362415238
,,0.073717640756332,-0.17651242663201325,-0.009166481693371722,-0.011765552291569985,5.0013335299689565
,,0.09611861008485621,-0.15713546722831181,-0.009168141858716745,-0.011768885199270213,5.001271273768518
,,0.11353946156491351,-0.18144198577580978,-0.009167751971400868,-0.011767614921241076,5.0012335427379515
,,0.1329536980051056,-0.22967582601359135,-0.009166399942805497,-0.01176537621342733,5.00119958481044
,,0.12282941105613746,-0.3463546989787289,-0.00916816072423203,-0.011767495439644273,5.000863778638378
,,0.10899300213654725,-0.38169584607119633,-0.009167003639294586,-0.011766294335171169,5.001031681724407
,,0.11332490250578636,-0.4304605619090844,-0.009166469116361537,-0.01176537621342733,5.001086391718732
,,0.16334783941473047,-0.4746749154603858,-0.009165947170438666,-0.011764407783642732,5.00123165618642
,,0.17351829944104813,-0.41316918522006585,-0.009167670220834636,-0.0117669797822265,5.001133555506943
,,0.1628919849791545,-0.29334297834003303,-0.00916725517949838,-0.011765665484661689,5.001307118247559
,,0.16788426434366852,-0.14556996308324724,-0.009167255179498375,-0.01176496746059617,5.001207131016551
,,0.2205864587687479,-0.05179458029391066,-0.009167437546146134,-0.011765778677753393,5.001093937924848
,,0.23523493263378698,-0.08808371952941146,-0.009167852587482385,-0.011766231450120217,5.001207131016553
,,0.2174275284788598,-0.2686572629353202,-0.009166387365795298,-0.011765149827243915,5.0011901520527955
