0,1,Velocidad E (m/s),Velocidad N (m/s),Velocidad U (m/s),Aceleración X (g),Aceleración Y (g),Aceleración Z (g),Posición longitud (deg),Posición latitud (deg),Posición altitud (m)
Fecha,05_12_2022,,,,,,,,,
Hora de inicio,11_58_03,,,,,,,,,
Hora de finalización,11_58_25,,,,,,,,,
,,1.8145,3.2305,-0.8099000000000001,0.0,0.00371,-0.14022,108.891818,34.2489397,985.91
,,1.3206,2.3314,-0.5084000000000001,0.2918,0.9364000000000001,-0.13425,108.8918073,34.2489225,986.41
,,1.3206,2.3314,-0.5084000000000001,0.0,0.00369,-0.14152,108.8918073,34.2489225,986.41
,,0.8828,1.5606,-0.2555,0.48040000000000005,0.52076,-0.30685,108.8917968,34.2489061,986.98
,,0.8641000000000001,1.458,-0.314,0.0,0.00237,-0.21416000000000002,108.8917965,34.2489057,987.0
,,0.8641000000000001,1.458,-0.314,-0.43412000000000006,1.95053,0.10814000000000001,108.8917965,34.2489057,987.0
,,0.6855,1.2485000000000002,-0.1416,0.0,0.0034000000000000002,-0.18081000000000003,108.89179109999999,34.248897299999996,987.3100000000001
,,0.6855,1.2485000000000002,-0.1416,0.3168,0.91988,-0.20985,108.89179109999999,34.248897299999996,987.3100000000001
,,0.452,0.6117,-0.1311,1e-05,0.0002,-0.5474100000000001,108.8917864,34.2488899,987.61
,,0.47540000000000004,0.9187000000000001,-0.1578,-0.2741,1.2276,0.18792,0.0016615,34.2488899,987.61
,,0.36060000000000003,0.541,-0.0955,0.0,0.0035,-0.2927,108.8917836,34.2488854,987.78
,,0.36060000000000003,0.541,-0.0955,0.30746,0.96135,-0.19708,108.8917836,34.2488854,987.78
,,0.36060000000000003,0.541,-0.0955,0.0,0.00385,0.0034400000000000003,108.8917836,34.2488854,987.78
,,0.36060000000000003,0.541,-0.0955,1.11172,0.7076100000000001,-0.35922000000000004,108.8917836,34.2488854,987.78
,,-0.4041,-1.1983000000000001,-0.0884,0.00253,0.006030000000000001,0.6115900000000001,0.0016615,34.2488854,987.78
,,-0.4041,-1.1983000000000001,-0.0884,1.24771,0.86497,-0.49494000000000005,0.0016615,34.2488854,987.78
,,-0.4435,-2.6849000000000003,-0.0771,0.45553000000000005,1.00126,-0.19614,108.89176839999999,34.2488465,988.2900000000001
,,-0.4369,-2.8313,-0.0317,0.21352000000000002,0.9072500000000001,-0.11954000000000001,108.891768,34.2488452,988.3000000000001
,,-0.4369,-2.8313,-0.0317,0.0,0.0036100000000000004,-0.15412,108.891768,34.2488452,988.3000000000001
,,-0.4369,-2.8313,-0.0317,0.0,0.0037700000000000003,-0.11931000000000001,108.891768,34.2488452,988.3000000000001
,,-0.0415,-3.1526,-0.036500000000000005,0.0,0.0037300000000000002,-0.14515,108.89176649999999,34.248824899999995,988.47
,,-0.0415,-3.1526,-0.036500000000000005,0.48337,0.70782,-0.013240000000000002,108.89176649999999,34.248824899999995,988.47
,,0.3679,-1.8991,0.0246,0.0,0.00253,-0.13735,108.8917776,34.2488312,988.62
,,0.3679,-1.8991,0.0246,0.9300200000000001,1.79967,0.028600000000000004,108.8917776,34.2488312,988.62
,,0.23950000000000002,-1.868,0.07590000000000001,0.0,1.60898,-0.059980000000000006,108.89178319999999,34.2488379,988.64
,,0.23950000000000002,-1.868,0.07590000000000001,0.6409600000000001,0.6815500000000001,-0.27903,108.89178319999999,34.2488379,988.64
,,0.23950000000000002,-1.868,0.07590000000000001,0.0,1.3400400000000001,-0.14344,108.89178319999999,34.2488379,988.64
,,0.23950000000000002,-1.868,0.07590000000000001,0.47053000000000006,1.2065000000000001,-0.09676000000000001,108.89178319999999,34.2488379,988.64
,,1.0241,1.2892000000000001,0.11560000000000001,1e-05,1.6198100000000002,-0.28076,108.8917975,34.2488661,3.86
,,1.4656,1.2892000000000001,0.11560000000000001,0.5916600000000001,0.9660700000000001,-0.30605000000000004,108.8917975,34.2488661,3.86
,,1.909,3.3029,-0.08750000000000001,0.0,0.00284,-0.15980000000000003,108.8918064,34.2488837,988.87
,,1.909,3.3029,-0.08750000000000001,0.19659000000000001,1.00844,-0.09250000000000001,108.8918064,34.2488837,988.87
,,1.909,3.3029,-0.08750000000000001,0.16110000000000002,0.97318,-0.08453000000000001,108.8918064,34.2488837,988.87
,,1.909,3.3029,-0.08750000000000001,1.15565,-0.21204,-0.6914300000000001,108.8918064,34.2488837,988.87
,,1.9680000000000002,4.3811,-0.28350000000000003,0.8197300000000001,0.44578,-0.31851,108.8918164,34.248917299999995,988.96
