,Velocidad longitudinal (km/h)
0,
1,
2,
3,0.0
4,0.12221880706339758
5,0.12162513556004777
6,0.12162513556004777
7,0.12162513556004777
8,0.12175879105838722
9,0.11738594805171529
10,0.11738594805171529
11,0.11738594805171529
12,0.11738594805171529
13,0.11738594805171529
14,0.11242668010752607
15,0.11242668010752607
16,0.11242668010752607
17,0.11242668010752607
18,0.11242668010752607
19,0.11242668010752607
20,0.10831274717225114
21,0.10831274717225114
22,0.10831274717225114
23,0.10626099943064718
24,0.10509842244296534
25,0.10444281880531567
26,0.10444281880531567
27,0.10444281880531567
28,0.10196837156687363
29,0.10196837156687363
30,0.10196837156687363
31,0.10196837156687363
32,0.10196837156687363
33,0.09850655206634736
34,0.09850655206634736
35,0.09850655206634736
36,0.09603906705086217
37,0.09603906705086217
38,0.09603906705086217
39,0.09603906705086217
40,0.09603906705086217
41,0.09189806526799137
42,0.09189806526799137
43,0.09189806526799137
44,0.09189806526799137
45,0.09189806526799137
46,0.09189806526799137
47,0.08634148018189172
48,0.08634148018189172
49,0.08393097163741166
50,0.08393097163741166
51,0.12158730196858551
52,0.07766243879765816
53,0.07766243879765816
54,0.07766243879765816
55,0.07766243879765816
56,0.0711526134446234
57,0.0711526134446234
58,0.0667884900263511
59,0.0667884900263511
60,0.0670827906396268
61,0.0670827906396268
62,0.0670827906396268
63,0.0617953396301048
64,0.06190953399921534
65,0.06190953399921534
66,0.059034511940050806
67,0.059034511940050806
68,0.059034511940050806
69,0.059034511940050806
70,0.059034511940050806
71,0.059034511940050806
72,0.057136888259687366
73,0.057136888259687366
74,0.05736213385152265
75,0.05736213385152265
76,0.05736213385152265
77,0.05736213385152265
78,0.05553576145151879
79,0.05553576145151879
80,0.05603177669858417
81,0.05603177669858417
82,0.05603177669858417
83,0.05603177669858417
84,0.05189621951549072
85,0.05305818692718402
86,0.05305818692718402
87,0.05305818692718402
88,0.05363516756755776
89,0.05363516756755776
90,0.05209188804410913
91,0.05209188804410913
92,0.05209188804410913
93,0.05209188804410913
94,0.05209188804410913
95,0.05209188804410913
96,0.053644831997127176
97,0.053644831997127176
98,0.05332498101265484
99,0.05332498101265484
100,0.05492094682359364
101,0.05492094682359364
102,0.05492094682359364
103,0.1883446925187965
104,0.1883446925187965
105,0.1883446925187965
106,1.0901385519281483
107,1.0901385519281483
108,1.5717553824943626
109,1.5717553824943626
110,1.5717553824943626
111,1.5717553824943626
112,0.16068909608308835
113,3.6128564931366984
114,1.244966665577838
115,1.244966665577838
116,3.721267429250416
117,3.721267429250416
118,3.721267429250416
119,3.721267429250416
120,3.721267429250416
121,3.721267429250416
122,1.9264893359684085
123,1.9264893359684085
124,1.7671222572306649
125,1.7671222572306649
126,1.7671222572306649
127,1.7671222572306649
128,3.9241826709774865
129,3.9241826709774865
130,3.9241826709774865
131,3.861668719711726
132,3.861668719711726
