0,1,Velocidad E (m/s),Velocidad N (m/s),Velocidad U (m/s),Aceleración X (g),Aceleración Y (g),Aceleración Z (g),Posición longitud (deg),Posición latitud (deg),Posición altitud (m)
Fecha,06_12_2022,,,,,,,,,
Hora de inicio,12_26_57,,,,,,,,,
Hora de finalización,12_27_03,,,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0056,0.0094,0.0286,-0.18127000000000001,-0.11213000000000001,0.9754,108.8919162,34.2489355,990.89
,,0.0053,0.0094,0.0286,-0.17971,-0.11332,0.9778000000000001,108.8919162,34.2489355,990.89
,,0.0055000000000000005,0.0098,0.028800000000000003,-0.18021,-0.11161000000000001,0.9772500000000001,108.8919162,2e-06,990.89
,,0.0051,0.0098,0.0287,-0.17865,-0.11236000000000002,0.97391,108.8919162,2e-06,990.89
,,0.0047,0.0095,0.029,-0.17579,-0.11046,0.97494,6.4e-06,2e-06,990.89
,,0.006200000000000001,0.0098,0.0292,-0.18204,-0.11802000000000001,0.9753200000000001,108.8919162,34.2489354,990.89
,,0.0059,0.009600000000000001,0.0291,-0.17879,-0.11075000000000002,0.9756400000000001,108.8919162,34.2489354,990.89
,,0.006,0.009600000000000001,0.029500000000000002,-0.17974,0.00255,0.0037900000000000004,108.8919162,34.2489354,990.89
,,0.006500000000000001,0.0095,0.0292,-0.17808000000000002,-0.11544000000000001,0.9723600000000001,108.8919162,34.2489354,990.89
,,0.007,0.01,0.0296,-0.18637,-0.10933000000000001,0.9755900000000001,6.4e-06,34.2489354,0.01
,,0.007500000000000001,0.009300000000000001,0.030100000000000002,-0.17863,-0.11166000000000001,0.9763400000000001,108.8919162,2e-06,990.89
,,0.0079,0.0095,0.0303,-0.18262,-0.1096,0.9742400000000001,108.8919162,34.2489354,990.89
,,0.0088,0.0097,0.0302,-0.18457,-0.11023000000000001,0.97369,108.8919162,34.2489354,990.9
,,0.008700000000000001,0.0103,0.0309,-0.18134,-0.10618000000000001,0.97284,108.8919162,34.2489354,990.9
,,0.0091,0.0105,0.031100000000000003,-0.17962,-0.11372000000000002,0.9781500000000001,108.8919162,34.2489354,990.9
,,0.0091,0.0105,0.031100000000000003,-0.18418,-0.11185,0.0038000000000000004,108.8919162,34.2489354,990.9
,,0.010100000000000001,0.009300000000000001,0.032,-0.18125000000000002,-0.11085,0.9760400000000001,108.8919162,34.2489354,990.9
,,0.0102,0.0091,0.031900000000000005,-0.18006000000000003,-0.11048000000000001,0.9729200000000001,6.4e-06,34.2489354,990.9
,,0.010700000000000001,0.0088,0.032100000000000004,-0.17808000000000002,0.00255,0.9722500000000001,108.8919162,2e-06,990.9
,,0.0,0.0083,0.031900000000000005,-0.17893,-0.10699000000000002,0.9780900000000001,108.8919162,34.2489354,990.9
,,0.0,0.0082,0.032,-0.1811,-0.11576000000000002,0.97028,6.4e-06,34.2489354,0.01
,,0.0099,0.0076,0.032,-0.18312,-0.11097000000000001,0.0038100000000000005,108.89191629999999,2e-06,990.9
,,0.009600000000000001,0.0076,0.0317,-0.17633000000000001,0.00255,0.9740900000000001,108.89191629999999,2e-06,0.01
,,0.009600000000000001,0.0068000000000000005,0.0318,-0.18197000000000002,-0.11040000000000001,0.9768800000000001,108.89191629999999,34.2489354,990.9
,,0.0099,0.0068000000000000005,0.031900000000000005,-0.17832,-0.11447000000000002,0.9739200000000001,108.89191629999999,34.2489354,990.9
,,0.01,0.006500000000000001,0.0318,-0.1746,-0.11162000000000001,0.9732700000000001,108.89191629999999,34.2489354,990.9
,,0.01,0.006500000000000001,0.0317,-0.17952,-0.1135,0.97796,6.4e-06,2e-06,990.9
,,0.0,0.0064,0.0317,-0.17850000000000002,-0.11374000000000001,0.9775800000000001,6.4e-06,34.2489354,0.01
,,0.0103,0.0066,0.0315,-0.18046,-0.11247000000000001,0.97274,108.89191629999999,34.2489354,990.9
,,0.0111,0.0068000000000000005,0.031900000000000005,-0.18136000000000002,-0.10880000000000001,0.9733200000000001,108.89191629999999,34.2489354,990.9
,,0.0108,0.0071,0.0318,-0.18012,-0.10913,0.9735900000000001,108.89191629999999,34.2489354,990.9
,,0.0108,0.0071,0.0318,-0.17911000000000002,-0.11393,0.0038000000000000004,108.89191629999999,34.2489354,990.9
,,0.0108,0.0071,0.0318,-0.18184,0.00255,0.0038000000000000004,108.89191629999999,34.2489354,990.9
,,0.0108,0.0071,0.0318,-0.18599000000000002,0.00255,0.0038100000000000005,108.89191629999999,34.2489354,990.9
,,0.0,0.007200000000000001,0.0323,-0.17863,-0.11197000000000001,0.9738100000000001,108.89191629999999,34.2489354,990.9
,,0.013000000000000001,0.0071,0.032100000000000004,-0.17962,-0.10928,0.9726000000000001,108.89191629999999,34.2489354,0.01
,,0.0132,0.0071,0.032100000000000004,-0.17861000000000002,-0.11378,0.9800800000000001,108.89191629999999,34.2489354,990.9
,,0.013300000000000001,0.0074,0.0317,-0.17909000000000003,-0.11551000000000002,0.9742400000000001,108.89191629999999,34.2489354,990.91
,,0.0131,0.007,0.0322,-0.17936000000000002,0.00255,0.9736100000000001,108.89191629999999,2e-06,990.91
,,0.0135,0.007,0.032600000000000004,-0.18317000000000003,-0.10843000000000001,0.9762200000000001,108.89191629999999,34.2489354,0.01
,,0.013000000000000001,0.006900000000000001,0.0329,-0.18058000000000002,-0.11368,0.9759700000000001,108.89191629999999,2e-06,990.91
,,0.013900000000000001,0.007500000000000001,0.033,-0.18423,-0.11339,0.9740200000000001,108.89191629999999,34.2489354,990.91
,,0.0135,0.0076,0.0335,-0.18348,-0.11076000000000001,0.97535,108.89191629999999,2e-06,0.01
,,0.014,0.0078000000000000005,0.0337,-0.18036000000000002,-0.11561,0.97406,108.89191629999999,34.2489354,990.91
,,0.014100000000000001,0.0079,0.0333,-0.17848000000000003,-0.11363000000000001,0.97813,108.89191629999999,34.2489354,990.91
,,0.0143,0.0078000000000000005,0.0333,-0.18414000000000003,0.00255,0.9772700000000001,108.89191629999999,34.2489354,990.91
,,0.0143,0.0078000000000000005,0.0335,-0.17787000000000003,-0.11183000000000001,0.0038000000000000004,108.89191629999999,34.2489354,990.91
,,0.0148,0.0082,0.0339,-0.17722000000000002,-0.11271,0.9773100000000001,108.89191629999999,34.2489354,990.91
,,0.0155,0.0082,0.0333,-0.18074,-0.11442000000000001,0.9728300000000001,108.89191629999999,34.2489354,0.01
,,0.0155,0.0082,0.0333,-0.17899,0.00255,0.0037900000000000004,108.89191629999999,34.2489354,0.01
,,0.0155,0.0082,0.0333,-0.1801,0.00255,0.0038100000000000005,108.89191629999999,34.2489354,0.01
,,0.0155,0.0082,0.0333,-0.17862,0.00255,0.0038200000000000005,108.89191629999999,34.2489354,0.01
,,0.0155,0.0082,0.0333,-0.18154,0.00255,0.0038000000000000004,108.89191629999999,34.2489354,0.01
