0,1,Velocidad E (m/s),Velocidad N (m/s),Velocidad U (m/s),Aceleración X (g),Aceleración Y (g),Aceleración Z (g),Pitch (°),Roll Y (°),Yaw (°),Posición longitud (deg),Posición latitud (deg),Posición altitud (m)
Fecha,09_12_2022,,,,,,,,,,,,
Hora de inicio,11_37_20,,,,,,,,,,,,
Hora de finalización,11_38_09,,,,,,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,-0.0195,0.027200000000000002,-0.0057,0.0,0.6551600000000001,0.9965100000000001,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,108.8917335,34.248836,990.13
,,-0.0196,0.0269,-0.0058000000000000005,0.0,0.65517,0.9940100000000001,0.0,0.0,0.0,108.8917335,34.248836,990.13
,,-0.0196,0.0269,-0.0058000000000000005,0.0,0.6551800000000001,0.99504,6.5535000000000005,6.5535000000000005,6.5535000000000005,108.8917335,34.248836,990.13
,,-0.0196,0.0269,-0.0058000000000000005,0.009840000000000002,-0.05176000000000001,0.99628,0.060000000000000005,0.060000000000000005,0.060000000000000005,108.8917335,34.248836,990.13
,,-0.0206,0.026000000000000002,-0.0066,0.00632,-0.041150000000000006,0.9979000000000001,0.0685,0.0685,0.0685,108.8917335,34.248836,990.13
,,-0.0199,0.0251,-0.0061,0.008530000000000001,-0.04871,0.9966800000000001,0.0785,0.0785,0.0785,108.8917335,0.0005225,990.13
,,-0.0199,0.0251,-0.0061,0.011810000000000001,0.65517,0.9988300000000001,-0.006900000000000001,-0.006900000000000001,-0.006900000000000001,108.8917335,0.0005225,990.13
,,-0.0199,0.0251,-0.0061,0.0,0.6551800000000001,0.9973600000000001,0.1027,0.1027,0.1027,108.8917335,0.0005225,990.13
,,-0.0199,0.0251,-0.0061,0.0,0.6551600000000001,0.9963600000000001,-0.0472,-0.0472,-0.0472,108.8917335,0.0005225,990.13
,,-0.0199,0.0251,-0.0061,0.0,0.65517,0.9947800000000001,6.5534,6.5534,6.5534,108.8917335,0.0005225,990.13
,,-0.020200000000000003,0.023100000000000002,-0.0058000000000000005,0.0,0.65517,0.9910500000000001,6.5535000000000005,6.5535000000000005,6.5535000000000005,108.8917335,34.248836,990.13
,,-0.020200000000000003,0.023100000000000002,-0.0058000000000000005,0.00923,-0.049960000000000004,0.9945700000000001,0.035300000000000005,0.035300000000000005,0.035300000000000005,108.8917335,34.248836,990.13
,,-0.020200000000000003,0.023100000000000002,-0.0058000000000000005,0.007750000000000001,-0.04442,0.9960800000000001,0.0497,0.0497,0.0497,108.8917335,34.248836,990.13
,,-0.020200000000000003,0.023100000000000002,-0.0058000000000000005,0.007260000000000001,-0.04735,0.9985200000000001,-0.039400000000000004,-0.039400000000000004,-0.039400000000000004,108.8917335,34.248836,990.13
,,-0.020200000000000003,0.023100000000000002,-0.0058000000000000005,0.007010000000000001,0.65517,0.99289,-0.0268,-0.0268,-0.0268,108.8917335,34.248836,990.13
,,-0.020200000000000003,0.023100000000000002,-0.0058000000000000005,0.0,0.6551800000000001,0.9950200000000001,0.041800000000000004,0.041800000000000004,0.041800000000000004,108.8917335,34.248836,990.13
,,-0.0207,0.0213,-0.0048000000000000004,0.0,0.65517,0.9963900000000001,0.0297,0.0297,0.0297,108.8917335,34.248836,990.13
,,-0.0207,0.0213,-0.0048000000000000004,0.0,0.6551800000000001,0.9934600000000001,0.0002,0.0002,0.0002,108.8917335,34.248836,990.13
,,-0.0207,0.0213,-0.0048000000000000004,0.0,0.6551600000000001,1.00238,0.0001,0.0001,0.0001,108.8917335,34.248836,990.13
,,-0.02,0.021,-0.0055000000000000005,0.0071,-0.04413,0.9961500000000001,-0.0446,-0.0446,-0.0446,108.8917335,34.248836,3.86
,,-0.020200000000000003,0.0204,-0.0053,0.006350000000000001,-0.04703,0.99794,-0.019,-0.019,-0.019,108.8917335,34.248836,990.13
,,-0.0198,0.0207,-0.0046,0.007770000000000001,-0.048850000000000005,1.00028,0.0032,0.0032,0.0032,108.8917335,0.0005225,990.13
,,-0.0198,0.0207,-0.0046,0.01033,0.6551600000000001,0.9990200000000001,0.0284,0.0284,0.0284,108.8917335,0.0005225,990.13
,,-0.0198,0.0207,-0.0046,0.0,0.6551600000000001,0.9993500000000001,-0.0408,-0.0408,-0.0408,108.8917335,0.0005225,990.13
,,-0.0198,0.02,-0.0032,0.0,0.6551800000000001,0.99038,-0.043300000000000005,-0.043300000000000005,-0.043300000000000005,108.8917335,34.248836,990.13
,,-0.0198,0.02,-0.0032,0.0,0.6551800000000001,0.9953000000000001,0.0004,0.0004,0.0004,108.8917335,34.248836,990.13
,,-0.0198,0.02,-0.0032,0.0,0.65517,0.99892,0.0,0.0,0.0,108.8917335,34.248836,990.13
,,-0.0198,0.02,-0.0032,0.011760000000000001,-0.046490000000000004,0.99648,-0.054700000000000006,-0.054700000000000006,-0.054700000000000006,108.8917335,34.248836,990.13
,,-0.0198,0.02,-0.0032,0.008570000000000001,-0.047310000000000005,0.9990100000000001,0.0333,0.0333,0.0333,108.8917335,34.248836,990.13
,,-0.0198,0.018500000000000003,-0.0038,0.004580000000000001,-0.045340000000000005,0.9986600000000001,-0.0298,-0.0298,-0.0298,108.8917335,0.0005225,990.13
,,-0.0198,0.018500000000000003,-0.0038,0.007390000000000001,0.65517,0.9964500000000001,-0.0397,-0.0397,-0.0397,108.8917335,0.0005225,990.13
,,-0.0198,0.018500000000000003,-0.0038,0.0,0.65517,0.9934000000000001,0.1022,0.1022,0.1022,108.8917335,0.0005225,990.13
,,-0.0188,0.018500000000000003,-0.004,0.0,0.65517,0.9923200000000001,0.0649,0.0649,0.0649,108.8917335,34.248836,990.14
,,-0.0188,0.018500000000000003,-0.004,0.0,0.6551800000000001,0.9960100000000001,0.0001,0.0001,0.0001,108.8917335,34.248836,990.14
,,-0.0188,0.018500000000000003,-0.004,0.0,0.65517,0.9959300000000001,0.0,0.0,0.0,108.8917335,34.248836,990.14
,,-0.0188,0.018500000000000003,-0.004,0.0068000000000000005,-0.05016,0.9924400000000001,-0.0309,-0.0309,-0.0309,108.8917335,34.248836,990.14
,,-0.0188,0.018500000000000003,-0.004,0.00854,-0.04811000000000001,0.9952700000000001,-0.039900000000000005,-0.039900000000000005,-0.039900000000000005,108.8917335,34.248836,990.14
,,-0.0182,0.017400000000000002,-0.004200000000000001,0.00161,-0.0466,0.9946,0.0712,0.0712,0.0712,108.8917335,0.0005225,990.14
,,-0.0182,0.017400000000000002,-0.004200000000000001,0.0083,0.6551800000000001,0.9977900000000001,-0.0287,-0.0287,-0.0287,108.8917335,0.0005225,990.14
,,-0.0182,0.017400000000000002,-0.004200000000000001,0.0,0.65517,0.99621,-0.1322,-0.1322,-0.1322,108.8917335,0.0005225,990.14
,,-0.0182,0.017400000000000002,-0.004200000000000001,0.0,0.6551600000000001,0.9965200000000001,0.0461,0.0461,0.0461,108.8917335,0.0005225,990.14
,,-0.0182,0.017400000000000002,-0.004200000000000001,0.0,0.65517,0.9951500000000001,0.0001,0.0001,0.0001,108.8917335,0.0005225,990.14
,,-0.0182,0.017400000000000002,-0.004200000000000001,0.0,0.65517,0.99975,0.0,0.0,0.0,108.8917335,0.0005225,990.14
,,-0.0172,0.016300000000000002,-0.0037,0.01046,-0.050260000000000006,0.99731,0.021400000000000002,0.021400000000000002,0.021400000000000002,108.8917335,34.248835899999996,990.14
,,-0.0172,0.016300000000000002,-0.0037,0.0053,-0.04569,0.9957500000000001,0.08,0.08,0.08,108.8917335,34.248835899999996,990.14
,,-0.0171,0.0155,-0.0033,0.00406,-0.04485,0.9954000000000001,-0.003,-0.003,-0.003,108.8917335,0.0005225,990.14
,,-0.0171,0.0155,-0.0033,0.00799,0.6551800000000001,0.99465,-0.0362,-0.0362,-0.0362,108.8917335,0.0005225,990.14
,,-0.017400000000000002,0.0137,0.025500000000000002,0.0,0.6551800000000001,0.9960700000000001,0.0341,0.0341,0.0341,108.8917335,0.0005225,990.14
,,-0.016900000000000002,0.012700000000000001,-0.0043,0.0,0.65517,0.9946600000000001,-0.0022,-0.0022,-0.0022,108.8917335,34.248835899999996,990.14
,,-0.016900000000000002,0.012700000000000001,-0.0043,0.0,0.6551600000000001,0.9939100000000001,0.0,0.0,0.0,108.8917335,34.248835899999996,990.14
,,-0.016900000000000002,0.012700000000000001,-0.0043,0.0,0.6551600000000001,0.9943200000000001,6.5535000000000005,6.5535000000000005,6.5535000000000005,108.8917335,34.248835899999996,990.14
,,-0.016900000000000002,0.012700000000000001,-0.0043,0.00805,-0.046990000000000004,0.9970300000000001,-0.0041,-0.0041,-0.0041,108.8917335,34.248835899999996,990.14
,,-0.0164,0.0102,-0.004200000000000001,0.0085,-0.043890000000000005,0.9943700000000001,0.064,0.064,0.064,108.8917335,34.248835899999996,990.14
,,-0.0164,0.0102,-0.004200000000000001,0.004920000000000001,-0.042960000000000005,0.9985,-0.030000000000000002,-0.030000000000000002,-0.030000000000000002,108.8917335,34.248835899999996,990.14
,,-0.0155,0.0095,-0.0037,0.00986,0.65517,1.0003000000000002,0.2122,0.2122,0.2122,0.0016615,34.248835899999996,990.14
,,-0.0155,0.0095,-0.0037,0.0,0.65517,0.9931300000000001,0.0005,0.0005,0.0005,0.0016615,34.248835899999996,990.14
,,-0.0159,0.0089,-0.0039000000000000003,0.0,0.6551800000000001,0.9941700000000001,0.039400000000000004,0.039400000000000004,0.039400000000000004,108.8917335,34.248835899999996,990.14
,,-0.0159,0.0089,-0.0039000000000000003,0.0,0.6551800000000001,0.9944000000000001,0.0,0.0,0.0,108.8917335,34.248835899999996,990.14
,,-0.0159,0.0089,-0.0039000000000000003,0.0,0.6551600000000001,0.9944600000000001,0.0001,0.0001,0.0001,108.8917335,34.248835899999996,990.14
,,-0.0152,0.006900000000000001,-0.004,0.006540000000000001,-0.04771,0.9929600000000001,0.0507,0.0507,0.0507,108.8917335,34.248835899999996,990.14
,,-0.0154,0.0067,-0.0037,0.00918,-0.04769,0.99914,-0.1075,-0.1075,-0.1075,108.8917335,0.0005225,990.14
,,-0.0154,0.0067,-0.0037,0.007520000000000001,-0.04283000000000001,0.9960800000000001,0.0081,0.0081,0.0081,108.8917335,0.0005225,990.14
,,-0.0143,0.006900000000000001,-0.0041,0.0048400000000000006,0.6551800000000001,0.9955700000000001,0.009300000000000001,0.009300000000000001,0.009300000000000001,0.0016615,0.0005225,990.14
,,-0.0143,0.006900000000000001,-0.0041,0.0,0.65515,0.9949100000000001,0.0645,0.0645,0.0645,0.0016615,0.0005225,990.14
,,-0.0143,0.006900000000000001,-0.0041,0.0,0.65517,0.9964700000000001,0.057800000000000004,0.057800000000000004,0.057800000000000004,0.0016615,0.0005225,990.14
,,-0.0143,0.006900000000000001,-0.0041,0.0,0.65517,1.00071,6.5533,6.5533,6.5533,0.0016615,0.0005225,990.14
,,-0.0143,0.006900000000000001,-0.0041,0.0,0.65517,0.9953500000000001,0.0,0.0,0.0,0.0016615,0.0005225,990.14
,,-0.0143,0.006900000000000001,-0.0041,0.00995,-0.048720000000000006,0.99389,-0.11330000000000001,-0.11330000000000001,-0.11330000000000001,0.0016615,0.0005225,990.14
,,-0.0145,0.0049,-0.004200000000000001,0.01009,-0.04990000000000001,0.9911000000000001,0.0245,0.0245,0.0245,108.8917336,0.0005225,990.14
,,-0.0145,0.0049,-0.004200000000000001,0.008440000000000001,-0.04594,0.9975100000000001,-0.012700000000000001,-0.012700000000000001,-0.012700000000000001,108.8917336,0.0005225,990.14
,,-0.0148,0.0037,-0.0046,0.00657,0.65517,0.9993900000000001,0.0307,0.0307,0.0307,0.0016615,0.0005225,990.14
,,-0.0148,0.0037,-0.0046,0.0,0.6551800000000001,0.9971300000000001,-0.0328,-0.0328,-0.0328,0.0016615,0.0005225,990.14
,,-0.0148,0.0037,-0.0046,0.0,0.65517,0.9912900000000001,0.07690000000000001,0.07690000000000001,0.07690000000000001,0.0016615,0.0005225,990.14
,,-0.0148,0.0037,-0.0046,0.0,0.6551600000000001,1.00069,0.0,0.0,0.0,0.0016615,0.0005225,990.14
,,-0.0143,0.0018000000000000002,-0.0055000000000000005,0.0,0.65517,0.9964200000000001,6.5533,6.5533,6.5533,108.8917336,34.2488358,990.14
,,-0.0143,0.0018000000000000002,-0.0055000000000000005,0.008360000000000001,-0.046680000000000006,0.99738,-0.0281,-0.0281,-0.0281,108.8917336,34.2488358,990.14
,,-0.0146,0.001,-0.0053,0.00316,-0.04734000000000001,0.9981000000000001,-0.023100000000000002,-0.023100000000000002,-0.023100000000000002,108.8917336,34.2488358,990.14
,,-0.0146,0.001,-0.0053,0.0122,-0.04990000000000001,0.9956300000000001,-0.033100000000000004,-0.033100000000000004,-0.033100000000000004,108.8917336,34.2488358,990.14
,,-0.0146,0.001,-0.0053,0.00894,0.65519,0.9967300000000001,0.0137,0.0137,0.0137,108.8917336,34.2488358,990.14
,,-0.0146,0.001,-0.0053,0.0,0.6551600000000001,0.9950100000000001,0.0175,0.0175,0.0175,108.8917336,34.2488358,990.14
,,-0.0134,0.0011,-0.005200000000000001,0.0,0.6551600000000001,0.9977300000000001,0.024300000000000002,0.024300000000000002,0.024300000000000002,108.8917336,34.2488358,990.14
,,-0.0137,0.0012000000000000001,-0.0053,0.0,0.6551600000000001,0.9949500000000001,0.0,0.0,0.0,108.8917336,34.2488358,990.14
,,-0.0137,0.0012000000000000001,-0.0053,0.0,0.65517,0.9984000000000001,6.5535000000000005,6.5535000000000005,6.5535000000000005,108.8917336,34.2488358,990.14
,,-0.0137,0.0012000000000000001,-0.0053,0.011540000000000002,-0.049670000000000006,0.9985400000000001,-0.0179,-0.0179,-0.0179,108.8917336,34.2488358,990.14
,,-0.0137,0.0008,-0.0058000000000000005,0.011120000000000001,-0.04954,1.0000900000000001,0.0148,0.0148,0.0148,108.8917336,34.2488358,990.14
,,-0.0137,0.0008,-0.0058000000000000005,0.0117,-0.0463,0.9957600000000001,0.0349,0.0349,0.0349,108.8917336,34.2488358,990.14
,,-0.013300000000000001,0.0,-0.0057,0.00606,0.65517,0.99421,0.031100000000000003,0.031100000000000003,0.031100000000000003,0.0016615,34.2488358,990.14
,,-0.013300000000000001,0.0,-0.0057,0.0,0.65515,0.9957100000000001,0.0165,0.0165,0.0165,0.0016615,34.2488358,990.14
,,-0.013300000000000001,0.0,-0.0057,0.0,0.6551800000000001,0.99455,0.015300000000000001,0.015300000000000001,0.015300000000000001,0.0016615,34.2488358,990.14
,,-0.013300000000000001,0.0,-0.0057,0.0,0.65515,0.9962400000000001,6.5534,6.5534,6.5534,0.0016615,34.2488358,990.14
,,-0.013300000000000001,0.0,-0.0057,0.0,0.65517,0.9962400000000001,0.0002,0.0002,0.0002,0.0016615,34.2488358,990.14
,,-0.013300000000000001,0.0,-0.0057,0.006920000000000001,-0.04698,0.99638,0.066,0.066,0.066,0.0016615,34.2488358,990.14
,,-0.013000000000000001,-0.0011,-0.007200000000000001,0.011420000000000001,-0.04748,0.9966,-0.0088,-0.0088,-0.0088,108.8917336,34.2488358,990.14
,,-0.013000000000000001,-0.0011,-0.007200000000000001,0.00787,-0.0519,0.9960200000000001,0.0268,0.0268,0.0268,108.8917336,34.2488358,990.14
,,-0.0128,-0.0009000000000000001,-0.0074,0.007410000000000001,0.6551600000000001,0.9970800000000001,0.014100000000000001,0.014100000000000001,0.014100000000000001,0.0016615,34.2488358,990.14
,,-0.0128,-0.0009000000000000001,-0.0074,0.0,0.6551800000000001,0.9978500000000001,0.0009000000000000001,0.0009000000000000001,0.0009000000000000001,0.0016615,34.2488358,990.14
,,-0.0132,-0.0015,-0.007500000000000001,0.00255,0.65512,0.9787100000000001,0.29600000000000004,0.29600000000000004,0.29600000000000004,108.8917336,34.2488358,990.14
,,-0.0132,-0.0015,-0.007500000000000001,0.0051400000000000005,-0.047560000000000005,0.9994000000000001,0.0034000000000000002,0.0034000000000000002,0.0034000000000000002,108.8917336,34.2488358,990.14
,,-0.0132,-0.0015,-0.007500000000000001,0.0,9e-05,0.8328500000000001,0.1794,0.1794,0.1794,108.8917336,34.2488358,990.14
,,-0.0048000000000000004,0.0342,-0.0393,-0.006560000000000001,-0.13772,0.8555400000000001,-1.0068000000000001,-1.0068000000000001,-1.0068000000000001,108.8917336,34.2488358,990.14
,,-0.0048000000000000004,0.0342,-0.0393,0.13384000000000001,0.03712,0.9766000000000001,1.6623,1.6623,1.6623,108.8917336,34.2488358,990.14
,,-0.0048000000000000004,0.0342,-0.0393,0.015360000000000002,-0.14294,1.0526300000000002,149.1002,149.1002,149.1002,108.8917336,34.2488358,990.14
,,-0.1688,0.08800000000000001,0.23550000000000001,0.50636,0.0010500000000000002,0.9166000000000001,160.6956,160.6956,160.6956,0.0016615,34.2488358,990.14
,,-0.1688,0.08800000000000001,0.23550000000000001,1e-05,0.00033000000000000005,0.5817500000000001,78.6804,78.6804,78.6804,0.0016615,34.2488358,990.14
,,-0.0376,-0.3668,0.2338,0.0,0.0008600000000000001,0.73241,77.99980000000001,77.99980000000001,77.99980000000001,108.8917333,34.2488358,990.2
,,-0.0376,-0.3668,0.2338,0.00252,0.65481,0.31175,0.1023,0.1023,0.1023,108.8917333,34.2488358,990.2
,,-0.0376,-0.3668,0.2338,0.00253,0.00059,0.46761,0.2293,0.2293,0.2293,108.8917333,34.2488358,990.2
,,-0.0376,-0.3668,0.2338,2.4030500000000004,0.6060800000000001,1.33867,-17.799500000000002,-17.799500000000002,-17.799500000000002,108.8917333,34.2488358,990.2
,,-0.0274,-0.027200000000000002,-0.0224,0.14911000000000002,0.055720000000000006,0.76368,-23.9841,-23.9841,-23.9841,108.89173339999999,34.2488355,990.23
